# Actuation disk source
# Time              # Uref              # Cp                # Ct                # a                 # T                 # diskDir           
1                   (1.000000000000e+01 0.000000000000e+00 0.000000000000e+00)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.302021403092e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
2                   (1.000379509372e+01 1.639536336694e-03 1.214020550690e-03)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.306805663131e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
3                   (1.001462632374e+01 6.678333847700e-03 3.851689219435e-03)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.320469966012e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
4                   (1.002362675599e+01 1.115343418402e-02 1.229320766039e-03)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.331835846852e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
5                   (1.002510058214e+01 1.321288560288e-02 -8.435160170260e-03)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.333697989478e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
6                   (1.002274534073e+01 1.444870864469e-02 -2.002090315876e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.330722331456e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
7                   (1.002345481708e+01 1.691176934058e-02 -2.406257804158e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.331618624156e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
8                   (1.002952159944e+01 2.096404383490e-02 -1.777136948581e-02)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.339285477076e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
9                   (1.003476373918e+01 2.319190162960e-02 -7.267589712077e-03)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.345913929794e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
10                  (1.003652058871e+01 2.232368409675e-02 -2.230674836689e-03)	5.300000000000e-01	5.800000000000e-01	8.620689655172e-02	6.348136162861e+02	(1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
