# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 6.94400000e+01
# lRef          : 9.00000000e-01
# Aref          : 1.00000000e-01
# CofR          : (7.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2500            	1.20481735e-01	6.02408673e-02	6.02408673e-02	7.17375160e-01	2.92853833e-01	4.24521327e-01	-6.58337470e-02	-1.05939866e-22	-2.59660832e-23	2.03957078e-21	9.93819308e-22	1.04575147e-21
2600            	1.20485653e-01	6.02428266e-02	6.02428266e-02	7.17681102e-01	2.92956393e-01	4.24724709e-01	-6.58841582e-02	-1.05944198e-22	-2.59547727e-23	2.03971837e-21	9.93904412e-22	1.04581396e-21
2700            	1.20489274e-01	6.02446371e-02	6.02446371e-02	7.17972524e-01	2.93056120e-01	4.24916404e-01	-6.59301419e-02	-1.05948342e-22	-2.59441223e-23	2.03985953e-21	9.93985644e-22	1.04587389e-21
2800            	1.20492625e-01	6.02463124e-02	6.02463124e-02	7.18250487e-01	2.93153088e-01	4.25097399e-01	-6.59721557e-02	-1.05952308e-22	-2.59340810e-23	2.03999467e-21	9.94063253e-22	1.04593142e-21
2900            	1.20495729e-01	6.02478646e-02	6.02478646e-02	7.18516232e-01	2.93247515e-01	4.25268717e-01	-6.60106010e-02	-1.05956111e-22	-2.59245935e-23	2.04012429e-21	9.94137552e-22	1.04598674e-21
3000            	1.20498609e-01	6.02493045e-02	6.02493045e-02	7.18770756e-01	2.93339548e-01	4.25431208e-01	-6.60458300e-02	-1.05959762e-22	-2.59156147e-23	2.04024880e-21	9.94208787e-22	1.04604002e-21
3100            	1.20501284e-01	6.02506421e-02	6.02506421e-02	7.19015015e-01	2.93429343e-01	4.25585672e-01	-6.60781645e-02	-1.05963274e-22	-2.59071001e-23	2.04036860e-21	9.94277202e-22	1.04609140e-21
3200            	1.20503771e-01	6.02518855e-02	6.02518855e-02	7.19249604e-01	2.93516951e-01	4.25732653e-01	-6.61078514e-02	-1.05966653e-22	-2.58990156e-23	2.04048395e-21	9.94342959e-22	1.04614099e-21
3300            	1.20506085e-01	6.02530424e-02	6.02530424e-02	7.19475351e-01	2.93602523e-01	4.25872828e-01	-6.61351529e-02	-1.05969909e-22	-2.58913326e-23	2.04059515e-21	9.94406244e-22	1.04618891e-21
3400            	1.20508239e-01	6.02541193e-02	6.02541193e-02	7.19692880e-01	2.93686151e-01	4.26006729e-01	-6.61602893e-02	-1.05973050e-22	-2.58840157e-23	2.04070250e-21	9.94467235e-22	1.04623527e-21
3500            	1.20510245e-01	6.02551226e-02	6.02551226e-02	7.19902683e-01	2.93767891e-01	4.26134792e-01	-6.61834503e-02	-1.05976082e-22	-2.58770404e-23	2.04080620e-21	9.94526061e-22	1.04628014e-21
3600            	1.20512116e-01	6.02560581e-02	6.02560581e-02	7.20105370e-01	2.93847874e-01	4.26257496e-01	-6.62048109e-02	-1.05979014e-22	-2.58703797e-23	2.04090653e-21	9.94582883e-22	1.04632364e-21
3700            	1.20513862e-01	6.02569311e-02	6.02569311e-02	7.20301423e-01	2.93926185e-01	4.26375238e-01	-6.62245266e-02	-1.05981850e-22	-2.58640115e-23	2.04100368e-21	9.94637828e-22	1.04636585e-21
