# Region type : functionObjectSurface sampled.plane1
# Faces       : 986
# Area        : 3.081250e-03
# Scale factor: 1.000000e+00
# Weight field: rhoU
# Time        	weightedAreaAverage(p)	weightedAreaAverage(pTotal)
163           	3.322327e+01	1.039971e+02
164           	3.322500e+01	1.039994e+02
165           	3.335230e+01	1.041584e+02
166           	3.334874e+01	1.041540e+02
167           	3.347719e+01	1.043145e+02
168           	3.347713e+01	1.043145e+02
169           	3.357332e+01	1.044347e+02
170           	3.356126e+01	1.044197e+02
171           	3.365419e+01	1.045358e+02
172           	3.367934e+01	1.045673e+02
173           	3.377409e+01	1.046857e+02
174           	3.379643e+01	1.047137e+02
175           	3.392118e+01	1.048695e+02
176           	3.397747e+01	1.049399e+02
177           	3.408273e+01	1.050714e+02
178           	3.413444e+01	1.051362e+02
179           	3.424955e+01	1.052800e+02
180           	3.429401e+01	1.053357e+02
181           	3.437686e+01	1.054391e+02
182           	3.440429e+01	1.054735e+02
183           	3.447476e+01	1.055615e+02
184           	3.449921e+01	1.055922e+02
185           	3.458845e+01	1.057036e+02
186           	3.462564e+01	1.057502e+02
187           	3.472035e+01	1.058685e+02
188           	3.477299e+01	1.059344e+02
189           	3.486374e+01	1.060477e+02
190           	3.489962e+01	1.060927e+02
191           	3.497088e+01	1.061816e+02
192           	3.499000e+01	1.062057e+02
193           	3.504224e+01	1.062708e+02
194           	3.507670e+01	1.063140e+02
195           	3.515459e+01	1.064113e+02
196           	3.520264e+01	1.064714e+02
197           	3.530042e+01	1.065936e+02
198           	3.533328e+01	1.066347e+02
199           	3.540343e+01	1.067223e+02
200           	3.543356e+01	1.067601e+02
201           	3.546918e+01	1.068044e+02
202           	3.550503e+01	1.068495e+02
203           	3.558701e+01	1.069517e+02
204           	3.565026e+01	1.070310e+02
205           	3.575530e+01	1.071621e+02
206           	3.580228e+01	1.072211e+02
207           	3.586493e+01	1.072991e+02
208           	3.589325e+01	1.073348e+02
209           	3.594649e+01	1.074011e+02
210           	3.597593e+01	1.074381e+02
211           	3.601808e+01	1.074906e+02
212           	3.605765e+01	1.075403e+02
213           	3.611881e+01	1.076165e+02
214           	3.615474e+01	1.076617e+02
215           	3.624384e+01	1.077728e+02
216           	3.628889e+01	1.078294e+02
217           	3.638302e+01	1.079468e+02
218           	3.642548e+01	1.080001e+02
219           	3.649485e+01	1.080865e+02
220           	3.657550e+01	1.081876e+02
221           	3.667022e+01	1.083057e+02
222           	3.670004e+01	1.083433e+02
223           	3.676734e+01	1.084272e+02
224           	3.683211e+01	1.085084e+02
225           	3.689433e+01	1.085859e+02
226           	3.692695e+01	1.086269e+02
227           	3.698555e+01	1.086999e+02
228           	3.703646e+01	1.087638e+02
229           	3.710852e+01	1.088536e+02
230           	3.713824e+01	1.088910e+02
231           	3.719845e+01	1.089660e+02
232           	3.725141e+01	1.090325e+02
233           	3.729050e+01	1.090811e+02
234           	3.730663e+01	1.091015e+02
235           	3.733883e+01	1.091415e+02
