# Region type : functionObjectSurface sampled.plane1
# Faces       : 986
# Area        : 3.081250e-03
# Scale factor: 1.000000e+00
# Weight field: rhoU
# Time        	weightedAreaIntegrate(p)	weightedAreaIntegrate(pTotal)
148           	-1.282080e+00	-4.007707e+00
149           	-1.279090e+00	-4.003960e+00
150           	-1.274934e+00	-3.998774e+00
151           	-1.272990e+00	-3.996333e+00
152           	-1.269981e+00	-3.992582e+00
153           	-1.269027e+00	-3.991378e+00
154           	-1.266657e+00	-3.988426e+00
155           	-1.265644e+00	-3.987149e+00
156           	-1.263950e+00	-3.985041e+00
157           	-1.265220e+00	-3.986620e+00
158           	-1.265802e+00	-3.987352e+00
159           	-1.268645e+00	-3.990900e+00
160           	-1.270364e+00	-3.993055e+00
161           	-1.274981e+00	-3.998822e+00
162           	-1.274917e+00	-3.998747e+00
163           	-1.279137e+00	-4.004017e+00
164           	-1.279204e+00	-4.004106e+00
165           	-1.284104e+00	-4.010227e+00
166           	-1.283968e+00	-4.010061e+00
167           	-1.288913e+00	-4.016238e+00
168           	-1.288911e+00	-4.016240e+00
169           	-1.292614e+00	-4.020865e+00
170           	-1.292150e+00	-4.020289e+00
171           	-1.295728e+00	-4.024757e+00
172           	-1.296696e+00	-4.025970e+00
173           	-1.300344e+00	-4.030527e+00
174           	-1.301205e+00	-4.031608e+00
175           	-1.306007e+00	-4.037606e+00
176           	-1.308175e+00	-4.040319e+00
177           	-1.312227e+00	-4.045380e+00
178           	-1.314219e+00	-4.047875e+00
179           	-1.318650e+00	-4.053408e+00
180           	-1.320363e+00	-4.055557e+00
181           	-1.323551e+00	-4.059534e+00
182           	-1.324609e+00	-4.060865e+00
183           	-1.327320e+00	-4.064245e+00
184           	-1.328263e+00	-4.065432e+00
185           	-1.331698e+00	-4.069717e+00
186           	-1.333131e+00	-4.071517e+00
187           	-1.336776e+00	-4.076065e+00
188           	-1.338804e+00	-4.078606e+00
189           	-1.342297e+00	-4.082966e+00
190           	-1.343679e+00	-4.084702e+00
191           	-1.346422e+00	-4.088122e+00
192           	-1.347159e+00	-4.089052e+00
193           	-1.349169e+00	-4.091556e+00
194           	-1.350497e+00	-4.093223e+00
195           	-1.353495e+00	-4.096963e+00
196           	-1.355346e+00	-4.099283e+00
197           	-1.359109e+00	-4.103982e+00
198           	-1.360376e+00	-4.105572e+00
199           	-1.363075e+00	-4.108940e+00
200           	-1.364237e+00	-4.110398e+00
201           	-1.365606e+00	-4.112096e+00
202           	-1.366989e+00	-4.113843e+00
203           	-1.370143e+00	-4.117770e+00
204           	-1.372581e+00	-4.120833e+00
205           	-1.376622e+00	-4.125870e+00
206           	-1.378434e+00	-4.128149e+00
207           	-1.380843e+00	-4.131147e+00
208           	-1.381936e+00	-4.132527e+00
209           	-1.383983e+00	-4.135072e+00
210           	-1.385119e+00	-4.136506e+00
211           	-1.386740e+00	-4.138518e+00
212           	-1.388266e+00	-4.140440e+00
213           	-1.390618e+00	-4.143365e+00
214           	-1.392004e+00	-4.145113e+00
215           	-1.395432e+00	-4.149382e+00
216           	-1.397169e+00	-4.151569e+00
217           	-1.400790e+00	-4.156080e+00
218           	-1.402428e+00	-4.158142e+00
219           	-1.405096e+00	-4.161462e+00
220           	-1.408204e+00	-4.165363e+00
221           	-1.411848e+00	-4.169902e+00
222           	-1.412999e+00	-4.171357e+00
223           	-1.415587e+00	-4.174577e+00
224           	-1.418084e+00	-4.177712e+00
225           	-1.420476e+00	-4.180688e+00
226           	-1.421735e+00	-4.182277e+00
227           	-1.423988e+00	-4.185078e+00
228           	-1.425951e+00	-4.187547e+00
229           	-1.428723e+00	-4.190996e+00
230           	-1.429870e+00	-4.192446e+00
231           	-1.432185e+00	-4.195324e+00
232           	-1.434227e+00	-4.197892e+00
233           	-1.435729e+00	-4.199754e+00
234           	-1.436353e+00	-4.200549e+00
235           	-1.437590e+00	-4.202080e+00
236           	-1.438835e+00	-4.203652e+00
237           	-1.441614e+00	-4.207110e+00
238           	-1.443183e+00	-4.209087e+00
239           	-1.444666e+00	-4.210925e+00
240           	-1.445404e+00	-4.211864e+00
241           	-1.447539e+00	-4.214516e+00
242           	-1.451132e+00	-4.219022e+00
243           	-1.452029e+00	-4.220127e+00
244           	-1.452670e+00	-4.220943e+00
245           	-1.453702e+00	-4.222220e+00
246           	-1.455123e+00	-4.224012e+00
247           	-1.456955e+00	-4.226287e+00
248           	-1.457748e+00	-4.227293e+00
249           	-1.458765e+00	-4.228551e+00
250           	-1.458780e+00	-4.228583e+00
251           	-1.459236e+00	-4.229140e+00
252           	-1.459118e+00	-4.229005e+00
253           	-1.459487e+00	-4.229454e+00
254           	-1.459330e+00	-4.229269e+00
255           	-1.459520e+00	-4.229495e+00
256           	-1.459050e+00	-4.228919e+00
257           	-1.459198e+00	-4.229092e+00
258           	-1.459034e+00	-4.228899e+00
259           	-1.459082e+00	-4.228949e+00
260           	-1.458759e+00	-4.228556e+00
261           	-1.458916e+00	-4.228741e+00
262           	-1.458781e+00	-4.228583e+00
263           	-1.459033e+00	-4.228887e+00
264           	-1.458981e+00	-4.228833e+00
265           	-1.459205e+00	-4.229103e+00
266           	-1.459120e+00	-4.229008e+00
267           	-1.459444e+00	-4.229402e+00
268           	-1.459500e+00	-4.229481e+00
269           	-1.460021e+00	-4.230124e+00
270           	-1.460451e+00	-4.230672e+00
271           	-1.461540e+00	-4.232021e+00
272           	-1.462260e+00	-4.232932e+00
273           	-1.463650e+00	-4.234659e+00
274           	-1.464389e+00	-4.235594e+00
275           	-1.465678e+00	-4.237193e+00
276           	-1.466115e+00	-4.237750e+00
277           	-1.467171e+00	-4.239061e+00
278           	-1.467599e+00	-4.239606e+00
279           	-1.468303e+00	-4.240477e+00
280           	-1.468485e+00	-4.240713e+00
281           	-1.469135e+00	-4.241516e+00
282           	-1.469173e+00	-4.241574e+00
283           	-1.469591e+00	-4.242087e+00
284           	-1.469626e+00	-4.242140e+00
285           	-1.469898e+00	-4.242470e+00
286           	-1.469811e+00	-4.242371e+00
287           	-1.470076e+00	-4.242692e+00
288           	-1.469812e+00	-4.242372e+00
289           	-1.469809e+00	-4.242356e+00
290           	-1.468872e+00	-4.241197e+00
291           	-1.468597e+00	-4.240842e+00
292           	-1.467687e+00	-4.239716e+00
293           	-1.467066e+00	-4.238929e+00
294           	-1.466390e+00	-4.238094e+00
295           	-1.466240e+00	-4.237900e+00
296           	-1.465964e+00	-4.237562e+00
297           	-1.466012e+00	-4.237613e+00
298           	-1.465966e+00	-4.237564e+00
299           	-1.466358e+00	-4.238046e+00
300           	-1.466545e+00	-4.238288e+00
301           	-1.467271e+00	-4.239187e+00
302           	-1.468083e+00	-4.240210e+00
303           	-1.469069e+00	-4.241433e+00
304           	-1.469570e+00	-4.242068e+00
305           	-1.470165e+00	-4.242805e+00
306           	-1.470501e+00	-4.243232e+00
307           	-1.471003e+00	-4.243853e+00
308           	-1.471417e+00	-4.244378e+00
309           	-1.472256e+00	-4.245417e+00
310           	-1.472493e+00	-4.245723e+00
311           	-1.472956e+00	-4.246295e+00
312           	-1.473045e+00	-4.246413e+00
313           	-1.473637e+00	-4.247145e+00
314           	-1.473911e+00	-4.247495e+00
315           	-1.474220e+00	-4.247874e+00
316           	-1.474333e+00	-4.248021e+00
317           	-1.474625e+00	-4.248381e+00
318           	-1.474776e+00	-4.248577e+00
319           	-1.475207e+00	-4.249108e+00
320           	-1.475344e+00	-4.249286e+00
321           	-1.475836e+00	-4.249894e+00
322           	-1.476226e+00	-4.250390e+00
323           	-1.476958e+00	-4.251296e+00
324           	-1.477400e+00	-4.251856e+00
325           	-1.478355e+00	-4.253041e+00
326           	-1.478837e+00	-4.253653e+00
327           	-1.479802e+00	-4.254850e+00
328           	-1.480007e+00	-4.255114e+00
329           	-1.480553e+00	-4.255791e+00
330           	-1.480715e+00	-4.256000e+00
331           	-1.481277e+00	-4.256694e+00
332           	-1.481418e+00	-4.256878e+00
333           	-1.481738e+00	-4.257273e+00
334           	-1.481702e+00	-4.257234e+00
335           	-1.481940e+00	-4.257525e+00
336           	-1.481984e+00	-4.257586e+00
337           	-1.482562e+00	-4.258300e+00
338           	-1.482783e+00	-4.258586e+00
339           	-1.483520e+00	-4.259498e+00
340           	-1.483810e+00	-4.259868e+00
341           	-1.484429e+00	-4.260635e+00
342           	-1.484857e+00	-4.261177e+00
343           	-1.485699e+00	-4.262221e+00
344           	-1.486056e+00	-4.262675e+00
345           	-1.486547e+00	-4.263283e+00
346           	-1.486761e+00	-4.263558e+00
347           	-1.487034e+00	-4.263893e+00
348           	-1.487034e+00	-4.263899e+00
349           	-1.487257e+00	-4.264171e+00
350           	-1.487214e+00	-4.264125e+00
351           	-1.487450e+00	-4.264414e+00
352           	-1.487257e+00	-4.264180e+00
353           	-1.487306e+00	-4.264237e+00
354           	-1.487175e+00	-4.264076e+00
355           	-1.487306e+00	-4.264233e+00
356           	-1.487195e+00	-4.264099e+00
357           	-1.487309e+00	-4.264237e+00
358           	-1.487147e+00	-4.264040e+00
359           	-1.487274e+00	-4.264193e+00
360           	-1.487122e+00	-4.264006e+00
361           	-1.487205e+00	-4.264105e+00
362           	-1.486920e+00	-4.263753e+00
363           	-1.486810e+00	-4.263609e+00
364           	-1.486231e+00	-4.262893e+00
365           	-1.485980e+00	-4.262572e+00
366           	-1.485391e+00	-4.261842e+00
367           	-1.485183e+00	-4.261577e+00
368           	-1.484634e+00	-4.260899e+00
369           	-1.484438e+00	-4.260649e+00
370           	-1.483978e+00	-4.260080e+00
