# Region type : functionObjectSurface sampled.plane2
# Faces       : 1600
# Area        : 5.000000e-03
# Scale factor: 1.000000e+00
# Weight field: rhoU
# Time        	weightedUniformity(p)	weightedUniformity(U)	weightedUniformity(rhoU)
1             	9.769281e-01	9.562489e-01	9.562489e-01
2             	9.774112e-01	9.571373e-01	9.571373e-01
3             	9.773466e-01	9.567037e-01	9.567037e-01
4             	9.745676e-01	9.559624e-01	9.559624e-01
5             	9.685362e-01	9.553652e-01	9.553652e-01
6             	9.613412e-01	9.542876e-01	9.542876e-01
7             	9.569897e-01	9.521392e-01	9.521392e-01
8             	9.553542e-01	9.489265e-01	9.489265e-01
9             	9.525527e-01	9.447608e-01	9.447608e-01
10            	9.282237e-01	9.396778e-01	9.396778e-01
11            	9.248448e-01	9.340506e-01	9.340506e-01
12            	9.164752e-01	9.279487e-01	9.279487e-01
13            	9.120797e-01	9.211511e-01	9.211511e-01
14            	9.054108e-01	9.138113e-01	9.138113e-01
15            	8.963828e-01	9.062306e-01	9.062306e-01
16            	8.877512e-01	8.986978e-01	8.986978e-01
17            	8.806935e-01	8.911510e-01	8.911510e-01
18            	8.733390e-01	8.836628e-01	8.836628e-01
19            	8.658400e-01	8.765152e-01	8.765152e-01
20            	8.569119e-01	8.697037e-01	8.697037e-01
21            	8.488299e-01	8.633032e-01	8.633032e-01
22            	8.394989e-01	8.571896e-01	8.571896e-01
23            	8.299139e-01	8.514380e-01	8.514380e-01
24            	8.212387e-01	8.460632e-01	8.460632e-01
25            	8.135251e-01	8.410799e-01	8.410799e-01
26            	8.064093e-01	8.364682e-01	8.364682e-01
27            	7.995260e-01	8.321669e-01	8.321669e-01
28            	7.906549e-01	8.280844e-01	8.280844e-01
29            	7.823279e-01	8.242894e-01	8.242894e-01
30            	7.739908e-01	8.207717e-01	8.207717e-01
31            	7.662863e-01	8.175161e-01	8.175161e-01
32            	7.578759e-01	8.144767e-01	8.144767e-01
33            	7.499780e-01	8.116596e-01	8.116596e-01
34            	7.418134e-01	8.090324e-01	8.090324e-01
35            	7.369562e-01	8.065841e-01	8.065841e-01
36            	7.312398e-01	8.042706e-01	8.042706e-01
37            	7.241557e-01	8.021040e-01	8.021040e-01
38            	7.170881e-01	8.000417e-01	8.000417e-01
39            	7.095587e-01	7.980850e-01	7.980850e-01
40            	7.017581e-01	7.962129e-01	7.962129e-01
41            	6.929804e-01	7.944465e-01	7.944465e-01
42            	6.839221e-01	7.927759e-01	7.927759e-01
43            	6.739844e-01	7.911820e-01	7.911820e-01
44            	6.631838e-01	7.896663e-01	7.896663e-01
45            	6.511789e-01	7.882310e-01	7.882310e-01
46            	6.371000e-01	7.868379e-01	7.868379e-01
47            	6.219764e-01	7.855176e-01	7.855176e-01
48            	6.042631e-01	7.842194e-01	7.842194e-01
49            	5.846216e-01	7.829199e-01	7.829199e-01
50            	5.610775e-01	7.816426e-01	7.816426e-01
51            	5.290497e-01	7.803564e-01	7.803564e-01
52            	4.965007e-01	7.790915e-01	7.790915e-01
53            	4.606951e-01	7.778040e-01	7.778040e-01
54            	4.203284e-01	7.765516e-01	7.765516e-01
55            	3.702884e-01	7.753306e-01	7.753306e-01
56            	3.029288e-01	7.741118e-01	7.741118e-01
57            	2.114860e-01	7.728795e-01	7.728795e-01
58            	9.620960e-02	7.716136e-01	7.716136e-01
59            	0.000000e+00	7.702871e-01	7.702871e-01
60            	0.000000e+00	7.689389e-01	7.689389e-01
61            	0.000000e+00	7.675293e-01	7.675293e-01
62            	0.000000e+00	7.660985e-01	7.660985e-01
63            	0.000000e+00	7.646207e-01	7.646207e-01
64            	0.000000e+00	7.631174e-01	7.631174e-01
65            	0.000000e+00	7.615737e-01	7.615737e-01
66            	0.000000e+00	7.599911e-01	7.599911e-01
67            	0.000000e+00	7.583844e-01	7.583844e-01
68            	1.427360e-01	7.567601e-01	7.567601e-01
69            	3.137418e-01	7.551251e-01	7.551251e-01
70            	4.207941e-01	7.534902e-01	7.534902e-01
71            	5.124106e-01	7.518454e-01	7.518454e-01
72            	5.627232e-01	7.501962e-01	7.501962e-01
73            	6.061073e-01	7.485555e-01	7.485555e-01
