# Region type : functionObjectSurface sampled.plane2
# Faces       : 1600
# Area        : 5.000000e-03
# Scale factor: 1.000000e+00
# Time        	uniformity(U)	uniformity(p)
165           	8.217101e-01	8.192525e-01
166           	8.223541e-01	8.176831e-01
167           	8.229537e-01	8.138269e-01
168           	8.235191e-01	8.120676e-01
169           	8.240451e-01	8.089649e-01
170           	8.245394e-01	8.073783e-01
171           	8.249953e-01	8.041407e-01
172           	8.254237e-01	8.015293e-01
173           	8.258200e-01	7.984778e-01
174           	8.261882e-01	7.959024e-01
175           	8.265241e-01	7.917821e-01
176           	8.268368e-01	7.881651e-01
177           	8.271211e-01	7.847506e-01
178           	8.273802e-01	7.812582e-01
179           	8.276136e-01	7.774317e-01
180           	8.278266e-01	7.743222e-01
181           	8.280136e-01	7.713874e-01
182           	8.281793e-01	7.688107e-01
183           	8.283225e-01	7.661342e-01
184           	8.284491e-01	7.637612e-01
185           	8.285564e-01	7.606881e-01
186           	8.286487e-01	7.579074e-01
187           	8.287235e-01	7.546136e-01
188           	8.287851e-01	7.510329e-01
189           	8.288338e-01	7.479653e-01
190           	8.288707e-01	7.452041e-01
191           	8.288954e-01	7.428595e-01
192           	8.289099e-01	7.407948e-01
193           	8.289148e-01	7.392257e-01
194           	8.289100e-01	7.364377e-01
195           	8.288985e-01	7.338526e-01
196           	8.288796e-01	7.304473e-01
197           	8.288557e-01	7.271233e-01
198           	8.288268e-01	7.242588e-01
199           	8.287928e-01	7.220978e-01
200           	8.287545e-01	7.193586e-01
201           	8.287165e-01	7.183640e-01
202           	8.286695e-01	7.163333e-01
203           	8.286187e-01	7.127039e-01
204           	8.285687e-01	7.088734e-01
205           	8.285178e-01	7.041618e-01
206           	8.284661e-01	7.013703e-01
207           	8.284132e-01	6.987766e-01
208           	8.283586e-01	6.969887e-01
209           	8.283032e-01	6.947230e-01
210           	8.282467e-01	6.926252e-01
211           	8.281909e-01	6.907565e-01
212           	8.281347e-01	6.881007e-01
213           	8.280792e-01	6.853739e-01
214           	8.280237e-01	6.828487e-01
215           	8.279702e-01	6.784793e-01
216           	8.279161e-01	6.751507e-01
217           	8.278641e-01	6.703140e-01
218           	8.278116e-01	6.668776e-01
219           	8.277618e-01	6.633049e-01
220           	8.277113e-01	6.568967e-01
221           	8.276629e-01	6.517585e-01
222           	8.276150e-01	6.489162e-01
223           	8.275699e-01	6.450855e-01
224           	8.275235e-01	6.390483e-01
225           	8.274795e-01	6.356245e-01
226           	8.274374e-01	6.325540e-01
227           	8.273971e-01	6.292676e-01
228           	8.273563e-01	6.239246e-01
229           	8.273184e-01	6.194454e-01
230           	8.272811e-01	6.159912e-01
231           	8.272467e-01	6.121283e-01
232           	8.272116e-01	6.058959e-01
233           	8.271787e-01	6.036987e-01
234           	8.271481e-01	6.018474e-01
235           	8.271188e-01	6.002604e-01
236           	8.270887e-01	5.959659e-01
237           	8.270613e-01	5.905523e-01
238           	8.270344e-01	5.849773e-01
239           	8.270099e-01	5.824674e-01
240           	8.269865e-01	5.798420e-01
241           	8.269638e-01	5.758336e-01
242           	8.269413e-01	5.630198e-01
243           	8.269196e-01	5.618672e-01
244           	8.269008e-01	5.601535e-01
245           	8.268830e-01	5.589010e-01
246           	8.268641e-01	5.532083e-01
247           	8.268471e-01	5.489712e-01
248           	8.268308e-01	5.452771e-01
249           	8.268161e-01	5.432055e-01
250           	8.268013e-01	5.425023e-01
251           	8.267879e-01	5.419813e-01
252           	8.267746e-01	5.418980e-01
253           	8.267623e-01	5.417068e-01
254           	8.267500e-01	5.417118e-01
255           	8.267389e-01	5.420740e-01
256           	8.267274e-01	5.428893e-01
257           	8.267174e-01	5.433306e-01
258           	8.267070e-01	5.431306e-01
259           	8.266981e-01	5.436991e-01
260           	8.266891e-01	5.441749e-01
261           	8.266813e-01	5.445992e-01
262           	8.266733e-01	5.445506e-01
263           	8.266662e-01	5.446997e-01
264           	8.266587e-01	5.443586e-01
265           	8.266523e-01	5.442025e-01
266           	8.266459e-01	5.438702e-01
267           	8.266402e-01	5.435719e-01
268           	8.266343e-01	5.428421e-01
269           	8.266291e-01	5.418089e-01
270           	8.266239e-01	5.395817e-01
