# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
21              	DILUPBiCGStab	2.90427920e-03	3.38895560e-09	7	3.04812120e-02	1.63453710e-09	9	false	DILUPBiCGStab	1.54649120e-03	1.01633390e-09	3	true	DILUPBiCGStab	1.85892760e-04	7.90076640e-09	2	true	GAMG	1.26021600e-01	1.12090650e-02	1	true
22              	DILUPBiCGStab	2.81031450e-03	8.25836030e-09	7	2.86853420e-02	8.88299080e-09	8	false	DILUPBiCGStab	1.41957420e-03	9.50810160e-09	2	true	DILUPBiCGStab	1.80259320e-04	8.30682020e-09	2	true	GAMG	1.27033150e-01	1.17665320e-02	1	true
23              	DILUPBiCGStab	2.64009390e-03	5.14628290e-09	7	2.83194420e-02	5.66625460e-09	8	false	DILUPBiCGStab	1.25453600e-03	9.86710820e-09	2	true	DILUPBiCGStab	1.72360070e-04	8.12663370e-09	2	true	GAMG	1.21622800e-01	7.11041870e-03	2	true
24              	DILUPBiCGStab	2.74719960e-03	7.57157160e-09	7	3.28281840e-02	7.28931790e-09	8	false	DILUPBiCGStab	1.18251400e-03	1.08504620e-09	3	true	DILUPBiCGStab	1.59890510e-04	7.42216150e-09	2	true	GAMG	9.06321030e-02	8.32202970e-03	1	true
25              	DILUPBiCGStab	2.35295200e-03	4.93875970e-09	8	2.74588280e-02	8.76390000e-09	9	false	DILUPBiCGStab	1.12774580e-03	1.73035660e-09	3	true	DILUPBiCGStab	1.51222990e-04	9.30621450e-09	2	true	GAMG	8.53877100e-02	4.96808420e-03	2	true
26              	DILUPBiCGStab	2.98489930e-03	4.50522200e-09	7	3.14199080e-02	7.68733210e-09	8	false	DILUPBiCGStab	1.07395080e-03	2.51352840e-09	3	true	DILUPBiCGStab	1.46079330e-04	8.98046280e-09	2	true	GAMG	8.09668960e-02	2.82315690e-03	2	true
27              	DILUPBiCGStab	2.95314500e-03	5.01544480e-09	7	3.29178020e-02	8.67602350e-09	8	false	DILUPBiCGStab	1.04532120e-03	3.87709360e-09	3	true	DILUPBiCGStab	1.34650800e-04	1.22869480e-09	2	true	GAMG	7.70712690e-02	7.61753280e-03	1	true
28              	DILUPBiCGStab	2.60667190e-03	3.75554470e-09	8	2.89701620e-02	3.50455920e-09	9	false	DILUPBiCGStab	1.10852470e-03	1.93627240e-09	3	true	DILUPBiCGStab	1.25975510e-04	1.52711890e-09	2	true	GAMG	8.13653820e-02	4.34540730e-03	2	true
29              	DILUPBiCGStab	2.99659770e-03	4.58649740e-09	7	3.23645130e-02	3.79626310e-09	9	false	DILUPBiCGStab	1.12486230e-03	8.93622090e-09	3	true	DILUPBiCGStab	1.21516770e-04	1.68463870e-09	2	true	GAMG	8.74085340e-02	4.05098230e-03	2	true
30              	DILUPBiCGStab	2.76985630e-03	2.94623050e-09	8	3.05511160e-02	3.38791320e-09	9	false	DILUPBiCGStab	1.18618930e-03	3.31889360e-10	4	true	DILUPBiCGStab	1.16536560e-04	2.09709450e-09	2	true	GAMG	8.71468640e-02	8.40177350e-03	1	true
31              	DILUPBiCGStab	2.84477830e-03	6.81377570e-09	8	2.97149090e-02	8.00880940e-09	9	false	DILUPBiCGStab	1.15238370e-03	3.20587760e-09	3	true	DILUPBiCGStab	1.08231390e-04	2.18631810e-09	2	true	GAMG	8.55818820e-02	4.27502820e-03	2	true
32              	DILUPBiCGStab	2.98344170e-03	4.14407760e-09	7	3.23376300e-02	4.56752760e-09	9	false	DILUPBiCGStab	1.14101210e-03	3.59831770e-09	3	true	DILUPBiCGStab	1.02654460e-04	2.32358500e-09	2	true	GAMG	8.56520720e-02	8.20848630e-03	1	true
33              	DILUPBiCGStab	2.71309600e-03	7.65710850e-09	7	2.82447440e-02	9.24095100e-09	8	false	DILUPBiCGStab	1.12093310e-03	3.74521170e-09	3	true	DILUPBiCGStab	9.42507700e-05	2.23169490e-09	2	true	GAMG	8.49498870e-02	3.28365320e-03	2	true
34              	DILUPBiCGStab	2.73658390e-03	3.74782050e-09	7	2.96319100e-02	9.43158900e-09	8	false	DILUPBiCGStab	1.08825920e-03	4.34426110e-09	3	true	DILUPBiCGStab	8.75501550e-05	2.10598210e-09	2	true	GAMG	7.79321380e-02	7.33843150e-03	1	true
35              	DILUPBiCGStab	2.27958150e-03	5.80228770e-09	7	2.50658840e-02	9.52520310e-09	8	false	DILUPBiCGStab	1.04727660e-03	4.09667000e-09	3	true	DILUPBiCGStab	8.10831010e-05	1.78787980e-09	2	true	GAMG	7.79530280e-02	2.63877610e-03	2	true
36              	DILUPBiCGStab	2.20376590e-03	9.47726260e-09	7	2.50252050e-02	9.81335850e-09	8	false	DILUPBiCGStab	1.06879180e-03	4.49144270e-09	3	true	DILUPBiCGStab	7.75160770e-05	1.61443700e-09	2	true	GAMG	6.50068290e-02	6.43863410e-03	1	true
37              	DILUPBiCGStab	1.80837290e-03	9.79997820e-09	7	2.01925890e-02	8.75201480e-09	8	false	DILUPBiCGStab	1.05377860e-03	5.22564790e-09	3	true	DILUPBiCGStab	7.39594170e-05	1.26985720e-09	2	true	GAMG	5.95623460e-02	2.56436100e-03	2	true
38              	DILUPBiCGStab	1.78986100e-03	6.36005310e-09	7	2.14268250e-02	7.91694640e-09	8	false	DILUPBiCGStab	1.14735140e-03	7.03095880e-09	3	true	DILUPBiCGStab	7.13676780e-05	9.97179770e-10	2	true	GAMG	4.92160380e-02	2.19493500e-03	2	true
39              	DILUPBiCGStab	1.50610960e-03	8.67598530e-09	6	1.88985670e-02	8.86238980e-09	8	false	DILUPBiCGStab	1.13522860e-03	4.90330830e-09	3	true	DILUPBiCGStab	6.93856280e-05	7.78365160e-09	2	true	GAMG	4.02318400e-02	1.88677280e-03	2	true
40              	DILUPBiCGStab	1.37238250e-03	4.85247550e-09	7	1.79067390e-02	4.57388440e-09	8	false	DILUPBiCGStab	1.17021870e-03	4.12081690e-09	3	true	DILUPBiCGStab	6.48610210e-05	6.97688010e-09	2	true	GAMG	3.50465580e-02	1.61399470e-03	2	true
41              	DILUPBiCGStab	1.28993100e-03	6.53423870e-09	7	1.75117480e-02	4.61320140e-09	8	false	DILUPBiCGStab	1.22068820e-03	3.70234480e-09	3	true	DILUPBiCGStab	6.36304630e-05	5.25921230e-09	2	true	GAMG	3.23499010e-02	1.40789930e-03	2	true
42              	DILUPBiCGStab	1.26956960e-03	7.40812560e-09	6	1.70876060e-02	5.85229630e-09	8	false	DILUPBiCGStab	1.27129050e-03	3.76460670e-09	3	true	DILUPBiCGStab	5.94355850e-05	4.69764900e-09	2	true	GAMG	3.11085380e-02	1.27698080e-03	2	true
43              	DILUPBiCGStab	1.25295240e-03	3.79616830e-09	7	1.67970080e-02	6.04417270e-09	8	false	DILUPBiCGStab	1.32535650e-03	4.07448800e-09	3	true	DILUPBiCGStab	5.70251610e-05	4.20468080e-09	2	true	GAMG	2.92047330e-02	1.17255330e-03	2	true
44              	DILUPBiCGStab	1.22610260e-03	8.39101200e-09	6	1.66450910e-02	5.77337420e-09	8	false	DILUPBiCGStab	1.37269160e-03	4.35146540e-09	3	true	DILUPBiCGStab	5.55731630e-05	3.85118610e-09	2	true	GAMG	2.70718980e-02	1.07115020e-03	2	true
45              	DILUPBiCGStab	1.19335960e-03	9.08416250e-09	6	1.64121830e-02	5.74388710e-09	8	false	DILUPBiCGStab	1.41190860e-03	4.58627160e-09	3	true	DILUPBiCGStab	5.22527040e-05	3.76825910e-09	2	true	GAMG	2.51468530e-02	9.56288450e-04	2	true
46              	DILUPBiCGStab	1.15294090e-03	8.00071780e-09	6	1.62799330e-02	3.10726840e-09	9	false	DILUPBiCGStab	1.45023410e-03	4.84140000e-09	3	true	DILUPBiCGStab	5.10060470e-05	3.54161330e-09	2	true	GAMG	2.39951930e-02	8.52925930e-04	2	true
47              	DILUPBiCGStab	1.11639160e-03	6.98831580e-10	8	1.60729160e-02	4.93195200e-09	8	false	DILUPBiCGStab	1.46592460e-03	5.03898670e-09	3	true	DILUPBiCGStab	4.96581760e-05	3.36978100e-09	2	true	GAMG	2.30270180e-02	8.26416650e-04	2	true
48              	DILUPBiCGStab	1.08705900e-03	7.65214560e-09	6	1.58812470e-02	4.85617230e-09	8	false	DILUPBiCGStab	1.48496770e-03	5.04494070e-09	3	true	DILUPBiCGStab	4.75537500e-05	3.30437310e-09	2	true	GAMG	2.27367620e-02	8.86741810e-04	2	true
49              	DILUPBiCGStab	1.05185310e-03	7.39829280e-09	6	1.56979170e-02	5.26158590e-09	8	false	DILUPBiCGStab	1.48565140e-03	4.79887120e-09	3	true	DILUPBiCGStab	4.64651540e-05	3.11368090e-09	2	true	GAMG	2.20219350e-02	9.62088630e-04	2	true
50              	DILUPBiCGStab	1.01262860e-03	2.80736740e-09	7	1.55065740e-02	9.23541440e-09	8	false	DILUPBiCGStab	1.47921010e-03	4.33506930e-09	3	true	DILUPBiCGStab	4.49572050e-05	2.97652640e-09	2	true	GAMG	2.14100110e-02	1.01024800e-03	2	true
51              	DILUPBiCGStab	9.81000960e-04	2.62976950e-09	7	1.50114800e-02	9.06593560e-10	9	false	DILUPBiCGStab	1.47640990e-03	3.79193820e-09	3	true	DILUPBiCGStab	4.64305900e-05	2.78716140e-09	2	true	GAMG	2.16171090e-02	1.04996920e-03	2	true
52              	DILUPBiCGStab	9.49769990e-04	2.40478250e-09	7	1.48024840e-02	8.31406490e-09	8	false	DILUPBiCGStab	1.46634490e-03	3.46480410e-09	3	true	DILUPBiCGStab	4.29788630e-05	2.67382890e-09	2	true	GAMG	2.12828990e-02	1.07173720e-03	2	true
53              	DILUPBiCGStab	9.15344150e-04	2.97378920e-09	7	1.44036100e-02	7.03577220e-09	8	false	DILUPBiCGStab	1.45303950e-03	3.47974380e-09	3	true	DILUPBiCGStab	4.16702610e-05	2.53979910e-09	2	true	GAMG	2.11581140e-02	1.05696690e-03	2	true
54              	DILUPBiCGStab	8.94316800e-04	2.17332490e-09	7	1.39214710e-02	6.32917480e-09	8	false	DILUPBiCGStab	1.43716930e-03	3.45316510e-09	3	true	DILUPBiCGStab	4.21181120e-05	2.41203610e-09	2	true	GAMG	2.13537110e-02	1.02460460e-03	2	true
55              	DILUPBiCGStab	8.77657520e-04	8.48790210e-09	6	1.37243370e-02	3.65412090e-09	8	false	DILUPBiCGStab	1.41926120e-03	2.32774950e-09	3	true	DILUPBiCGStab	4.09323300e-05	2.29304180e-09	2	true	GAMG	2.06939600e-02	9.76111740e-04	2	true
56              	DILUPBiCGStab	8.64940490e-04	4.17540500e-09	6	1.33854010e-02	7.43025200e-09	8	false	DILUPBiCGStab	1.39869420e-03	1.79846440e-09	3	true	DILUPBiCGStab	3.83466180e-05	2.21221660e-09	2	true	GAMG	2.00986880e-02	9.22800100e-04	2	true
57              	DILUPBiCGStab	8.59578720e-04	8.44679370e-09	6	1.28954550e-02	6.24727350e-10	9	false	DILUPBiCGStab	1.37368420e-03	1.58829560e-09	3	true	DILUPBiCGStab	3.76724180e-05	2.12000040e-09	2	true	GAMG	2.01976890e-02	8.88965520e-04	2	true
58              	DILUPBiCGStab	8.56385400e-04	5.29747140e-09	6	1.26070600e-02	8.27094350e-09	7	false	DILUPBiCGStab	1.34977670e-03	2.11941920e-10	4	true	DILUPBiCGStab	3.57852730e-05	2.02701360e-09	2	true	GAMG	1.96403090e-02	8.80549880e-04	2	true
59              	DILUPBiCGStab	8.48153550e-04	5.11662240e-09	6	1.22485280e-02	6.62985490e-09	7	false	DILUPBiCGStab	1.32551850e-03	2.08997640e-09	3	true	DILUPBiCGStab	3.44938870e-05	1.95033980e-09	2	true	GAMG	1.86890550e-02	8.83290690e-04	2	true
60              	DILUPBiCGStab	8.37686010e-04	6.76775250e-09	6	1.16968930e-02	5.09650350e-09	7	false	DILUPBiCGStab	1.28934420e-03	9.45883610e-09	3	true	DILUPBiCGStab	3.40646210e-05	1.90777090e-09	2	true	GAMG	1.84835920e-02	8.93426760e-04	2	true
61              	DILUPBiCGStab	8.28979770e-04	5.76691340e-09	6	1.11878140e-02	4.89316260e-09	7	false	DILUPBiCGStab	1.25453960e-03	9.55853710e-09	3	true	DILUPBiCGStab	3.28889740e-05	1.95921320e-09	2	true	GAMG	1.84416970e-02	9.06803760e-04	2	true
62              	DILUPBiCGStab	8.18497400e-04	4.38974550e-09	6	1.08530690e-02	1.71340340e-09	8	false	DILUPBiCGStab	1.22935550e-03	9.69368990e-09	3	true	DILUPBiCGStab	3.09536810e-05	2.02417780e-09	2	true	GAMG	1.76990610e-02	9.08383110e-04	2	true
63              	DILUPBiCGStab	8.05873260e-04	5.95978520e-09	6	1.05536010e-02	1.36269490e-09	8	false	DILUPBiCGStab	1.19264790e-03	9.27277630e-09	3	true	DILUPBiCGStab	3.03904100e-05	1.97510910e-09	2	true	GAMG	1.67109630e-02	8.82638310e-04	2	true
64              	DILUPBiCGStab	7.96475720e-04	9.42284960e-09	5	1.01876160e-02	4.39390660e-09	7	false	DILUPBiCGStab	1.15229420e-03	8.52190600e-09	3	true	DILUPBiCGStab	2.97060280e-05	2.11622820e-09	2	true	GAMG	1.64294860e-02	8.36826610e-04	2	true
65              	DILUPBiCGStab	7.87179930e-04	7.87199770e-09	5	9.88630250e-03	3.28893340e-09	7	false	DILUPBiCGStab	1.11977780e-03	8.64102000e-09	3	true	DILUPBiCGStab	2.78155500e-05	2.65049960e-09	2	true	GAMG	1.62819250e-02	7.95461600e-04	2	true
66              	DILUPBiCGStab	7.76980460e-04	6.32313850e-09	6	9.72924760e-03	7.50609930e-09	7	false	DILUPBiCGStab	1.08802520e-03	8.58813640e-09	3	true	DILUPBiCGStab	2.74714470e-05	2.47085260e-09	2	true	GAMG	1.57582860e-02	7.60576980e-04	2	true
67              	DILUPBiCGStab	7.66409110e-04	7.65745720e-09	5	9.57410220e-03	6.13963660e-09	7	false	DILUPBiCGStab	1.05463940e-03	8.03421240e-09	3	true	DILUPBiCGStab	2.68427580e-05	2.20485410e-09	2	true	GAMG	1.49480750e-02	7.19752330e-04	2	true
68              	DILUPBiCGStab	7.56470300e-04	7.29694540e-09	5	9.28400440e-03	7.13791190e-09	7	false	DILUPBiCGStab	1.02024340e-03	8.03081320e-09	3	true	DILUPBiCGStab	2.74700690e-05	2.30734900e-09	2	true	GAMG	1.43351330e-02	6.84385900e-04	2	true
69              	DILUPBiCGStab	7.41580400e-04	6.96450520e-09	5	8.91703610e-03	4.84728500e-09	7	false	DILUPBiCGStab	9.87966680e-04	8.67929630e-09	3	true	DILUPBiCGStab	2.41571660e-05	2.43588720e-09	2	true	GAMG	1.40564730e-02	6.77963030e-04	2	true
70              	DILUPBiCGStab	7.21251700e-04	5.32385600e-09	5	8.67653930e-03	9.80923530e-09	6	false	DILUPBiCGStab	9.56888200e-04	9.12369190e-09	3	true	DILUPBiCGStab	2.28161410e-05	2.10587680e-09	2	true	GAMG	1.37307950e-02	6.86437250e-04	2	true
71              	DILUPBiCGStab	7.03463090e-04	4.02384610e-09	5	8.49060970e-03	8.73981090e-09	6	false	DILUPBiCGStab	9.25890460e-04	9.99357020e-09	3	true	DILUPBiCGStab	2.31237460e-05	1.74075610e-09	2	true	GAMG	1.32961790e-02	6.89299490e-04	2	true
72              	DILUPBiCGStab	6.88707230e-04	3.24495680e-09	5	8.17661990e-03	7.70899270e-09	6	false	DILUPBiCGStab	8.94497970e-04	1.13277710e-09	3	true	DILUPBiCGStab	2.07814340e-05	1.62264870e-09	2	true	GAMG	1.26550020e-02	6.78274950e-04	2	true
73              	DILUPBiCGStab	6.63958700e-04	8.16784990e-09	5	7.78697910e-03	7.09434250e-09	6	false	DILUPBiCGStab	8.63716770e-04	1.35858610e-09	3	true	DILUPBiCGStab	1.97379900e-05	1.44224890e-09	2	true	GAMG	1.17940070e-02	6.58726910e-04	2	true
74              	DILUPBiCGStab	6.34750260e-04	7.40774580e-09	5	7.40804510e-03	6.59612460e-09	6	false	DILUPBiCGStab	8.34866670e-04	1.60996720e-09	3	true	DILUPBiCGStab	1.94607660e-05	1.28678130e-09	2	true	GAMG	1.10885670e-02	6.28873920e-04	2	true
75              	DILUPBiCGStab	6.07037540e-04	7.64340770e-09	5	7.06306500e-03	6.05602000e-09	6	false	DILUPBiCGStab	8.05477940e-04	1.55832460e-09	3	true	DILUPBiCGStab	1.91784240e-05	1.19138120e-09	2	true	GAMG	1.06177220e-02	5.91519480e-04	2	true
76              	DILUPBiCGStab	5.87570670e-04	7.84941220e-09	5	6.74470150e-03	5.42769820e-09	6	false	DILUPBiCGStab	7.75645220e-04	1.41493880e-09	3	true	DILUPBiCGStab	1.74433450e-05	1.13354610e-09	2	true	GAMG	1.01743400e-02	5.50077710e-04	2	true
77              	DILUPBiCGStab	5.66983800e-04	7.68917490e-09	5	6.43665350e-03	5.82692750e-09	6	false	DILUPBiCGStab	7.48410800e-04	1.24841320e-09	3	true	DILUPBiCGStab	1.65639860e-05	1.03914520e-09	2	true	GAMG	9.68704900e-03	5.08586260e-04	2	true
78              	DILUPBiCGStab	5.43214860e-04	7.37157810e-09	5	6.15927600e-03	6.08591660e-09	6	false	DILUPBiCGStab	7.23416280e-04	1.07325080e-09	3	true	DILUPBiCGStab	1.63953450e-05	9.24163620e-10	2	true	GAMG	9.13960440e-03	4.69955630e-04	2	true
79              	DILUPBiCGStab	5.17980710e-04	7.25317430e-09	5	5.83420710e-03	6.39585500e-09	6	false	DILUPBiCGStab	6.99661020e-04	9.21417130e-09	3	true	DILUPBiCGStab	1.52140000e-05	8.67786550e-10	2	true	GAMG	8.54447260e-03	4.31975190e-04	2	true
80              	DILUPBiCGStab	4.95123190e-04	7.16015870e-09	5	5.49282660e-03	9.18620730e-09	6	false	DILUPBiCGStab	6.76451840e-04	6.74046060e-09	3	true	DILUPBiCGStab	1.54869820e-05	9.77631640e-09	1	true	GAMG	8.10740120e-03	3.98887560e-04	2	true
81              	DILUPBiCGStab	4.72617340e-04	6.98904460e-09	5	5.17345270e-03	8.71403300e-09	6	false	DILUPBiCGStab	6.52826200e-04	5.09518310e-09	3	true	DILUPBiCGStab	1.41751670e-05	9.10170990e-09	1	true	GAMG	7.65283480e-03	3.74645960e-04	2	true
82              	DILUPBiCGStab	4.50402050e-04	6.79282910e-09	5	4.92499050e-03	4.20111260e-09	6	false	DILUPBiCGStab	6.32232930e-04	4.06516250e-09	3	true	DILUPBiCGStab	1.39735290e-05	8.31792680e-09	1	true	GAMG	7.17176970e-03	3.61094710e-04	2	true
83              	DILUPBiCGStab	4.32186460e-04	6.42184060e-09	5	4.68679840e-03	3.89079210e-09	6	false	DILUPBiCGStab	6.11535780e-04	3.34974130e-09	3	true	DILUPBiCGStab	1.33867590e-05	7.68650940e-09	1	true	GAMG	6.68347450e-03	3.57332610e-04	2	true
84              	DILUPBiCGStab	4.15131260e-04	5.72908480e-09	5	4.44875990e-03	3.51317940e-09	6	false	DILUPBiCGStab	5.92437390e-04	2.74099290e-09	3	true	DILUPBiCGStab	1.27359390e-05	7.19259880e-09	1	true	GAMG	6.35112460e-03	3.56390120e-04	2	true
85              	DILUPBiCGStab	3.96585470e-04	4.97686230e-09	5	4.20631260e-03	4.17581080e-09	6	false	DILUPBiCGStab	5.72792590e-04	2.12811210e-09	3	true	DILUPBiCGStab	1.23257710e-05	6.75772780e-09	1	true	GAMG	6.04984620e-03	3.52815440e-04	2	true
