# Region type : functionObjectSurface sampled.plane1
# Faces       : 986
# Area        : 3.081250e-03
# Scale factor: 1.000000e+00
# Time        	areaNormalIntegrate(rhoU)
260           	-3.850129e-02
261           	-3.850122e-02
262           	-3.850129e-02
263           	-3.850122e-02
264           	-3.850128e-02
265           	-3.850123e-02
266           	-3.850129e-02
267           	-3.850123e-02
268           	-3.850128e-02
269           	-3.850123e-02
270           	-3.850129e-02
271           	-3.850122e-02
272           	-3.850128e-02
273           	-3.850123e-02
274           	-3.850129e-02
275           	-3.850123e-02
276           	-3.850128e-02
277           	-3.850123e-02
278           	-3.850129e-02
279           	-3.850124e-02
280           	-3.850128e-02
281           	-3.850123e-02
282           	-3.850128e-02
283           	-3.850124e-02
284           	-3.850129e-02
285           	-3.850124e-02
286           	-3.850129e-02
287           	-3.850123e-02
288           	-3.850129e-02
289           	-3.850122e-02
290           	-3.850129e-02
291           	-3.850122e-02
292           	-3.850129e-02
293           	-3.850123e-02
294           	-3.850128e-02
295           	-3.850124e-02
296           	-3.850129e-02
297           	-3.850124e-02
298           	-3.850128e-02
299           	-3.850124e-02
300           	-3.850128e-02
301           	-3.850124e-02
302           	-3.850128e-02
303           	-3.850123e-02
304           	-3.850128e-02
305           	-3.850124e-02
306           	-3.850128e-02
307           	-3.850124e-02
308           	-3.850128e-02
309           	-3.850123e-02
310           	-3.850128e-02
311           	-3.850125e-02
312           	-3.850128e-02
313           	-3.850124e-02
314           	-3.850128e-02
315           	-3.850125e-02
316           	-3.850128e-02
317           	-3.850125e-02
318           	-3.850128e-02
319           	-3.850124e-02
320           	-3.850128e-02
321           	-3.850124e-02
322           	-3.850128e-02
323           	-3.850124e-02
324           	-3.850128e-02
325           	-3.850123e-02
326           	-3.850128e-02
327           	-3.850124e-02
328           	-3.850128e-02
329           	-3.850124e-02
330           	-3.850128e-02
331           	-3.850124e-02
332           	-3.850128e-02
333           	-3.850125e-02
334           	-3.850128e-02
335           	-3.850125e-02
336           	-3.850128e-02
337           	-3.850123e-02
338           	-3.850128e-02
339           	-3.850124e-02
340           	-3.850128e-02
341           	-3.850124e-02
342           	-3.850128e-02
343           	-3.850123e-02
344           	-3.850128e-02
345           	-3.850124e-02
346           	-3.850128e-02
347           	-3.850125e-02
348           	-3.850128e-02
349           	-3.850125e-02
350           	-3.850128e-02
351           	-3.850125e-02
352           	-3.850130e-02
353           	-3.850127e-02
354           	-3.850129e-02
355           	-3.850125e-02
356           	-3.850128e-02
357           	-3.850125e-02
358           	-3.850128e-02
359           	-3.850125e-02
360           	-3.850127e-02
361           	-3.850124e-02
362           	-3.850127e-02
363           	-3.850123e-02
364           	-3.850127e-02
365           	-3.850123e-02
366           	-3.850127e-02
