# Region type : functionObjectSurface sampled.plane1
# Faces       : 986
# Area        : 3.081250e-03
# Scale factor: 1.000000e+00
# Time        	uniformity(U)	uniformity(p)
1             	9.636174e-01	9.997885e-01
2             	9.584133e-01	9.887147e-01
3             	9.289319e-01	9.786489e-01
4             	8.860993e-01	9.710886e-01
5             	9.530003e-01	9.584579e-01
6             	9.773637e-01	9.458652e-01
7             	9.760183e-01	9.381880e-01
8             	9.852740e-01	9.371618e-01
9             	9.900468e-01	9.360470e-01
10            	9.915898e-01	9.168376e-01
11            	9.912460e-01	9.225768e-01
12            	9.900908e-01	9.365468e-01
13            	9.901873e-01	9.536181e-01
14            	9.904787e-01	9.603026e-01
15            	9.904306e-01	9.651049e-01
16            	9.911463e-01	9.691741e-01
17            	9.920290e-01	9.726237e-01
18            	9.931836e-01	9.752693e-01
19            	9.936878e-01	9.771319e-01
20            	9.954506e-01	9.786338e-01
21            	9.963055e-01	9.794135e-01
22            	9.966444e-01	9.799667e-01
23            	9.970389e-01	9.806467e-01
24            	9.974601e-01	9.809881e-01
25            	9.976437e-01	9.813218e-01
26            	9.980121e-01	9.814351e-01
27            	9.981361e-01	9.815987e-01
28            	9.982206e-01	9.815385e-01
29            	9.982088e-01	9.814994e-01
30            	9.982018e-01	9.815031e-01
31            	9.981690e-01	9.814422e-01
32            	9.981373e-01	9.814412e-01
33            	9.981663e-01	9.814361e-01
34            	9.981757e-01	9.816017e-01
35            	9.981956e-01	9.820935e-01
36            	9.982124e-01	9.823339e-01
37            	9.982413e-01	9.826451e-01
38            	9.982535e-01	9.829605e-01
39            	9.982794e-01	9.832195e-01
40            	9.982920e-01	9.834019e-01
41            	9.983044e-01	9.835559e-01
42            	9.983069e-01	9.836751e-01
43            	9.983124e-01	9.838035e-01
44            	9.983117e-01	9.839403e-01
45            	9.983123e-01	9.840680e-01
46            	9.983128e-01	9.842251e-01
47            	9.983166e-01	9.843325e-01
48            	9.983177e-01	9.845236e-01
49            	9.983194e-01	9.846859e-01
50            	9.983194e-01	9.848140e-01
51            	9.983218e-01	9.849566e-01
52            	9.983202e-01	9.851037e-01
53            	9.983231e-01	9.852634e-01
54            	9.983227e-01	9.854000e-01
55            	9.983234e-01	9.855027e-01
56            	9.983239e-01	9.856034e-01
57            	9.983244e-01	9.857023e-01
58            	9.983235e-01	9.857788e-01
59            	9.983254e-01	9.858417e-01
60            	9.983257e-01	9.858964e-01
61            	9.983248e-01	9.859174e-01
62            	9.983262e-01	9.859410e-01
63            	9.983269e-01	9.859552e-01
64            	9.983268e-01	9.859951e-01
65            	9.983276e-01	9.860272e-01
66            	9.983267e-01	9.860954e-01
67            	9.983279e-01	9.861277e-01
68            	9.983276e-01	9.861576e-01
69            	9.983287e-01	9.861239e-01
70            	9.983277e-01	9.860879e-01
71            	9.983291e-01	9.859937e-01
72            	9.983286e-01	9.859414e-01
73            	9.983282e-01	9.858775e-01
74            	9.983293e-01	9.858264e-01
75            	9.983296e-01	9.857323e-01
76            	9.983294e-01	9.856166e-01
77            	9.983296e-01	9.854860e-01
78            	9.983293e-01	9.853608e-01
79            	9.983297e-01	9.852427e-01
80            	9.983296e-01	9.851363e-01
81            	9.983302e-01	9.850289e-01
82            	9.983301e-01	9.849415e-01
83            	9.983302e-01	9.848314e-01
84            	9.983300e-01	9.847344e-01
85            	9.983305e-01	9.845724e-01
86            	9.983303e-01	9.844545e-01
87            	9.983306e-01	9.843128e-01
88            	9.983304e-01	9.842090e-01
89            	9.983307e-01	9.841120e-01
90            	9.983305e-01	9.840167e-01
91            	9.983308e-01	9.839525e-01
92            	9.983306e-01	9.838692e-01
93            	9.983309e-01	9.837878e-01
94            	9.983306e-01	9.836896e-01
95            	9.983309e-01	9.835813e-01
96            	9.983307e-01	9.834825e-01
97            	9.983309e-01	9.833831e-01
98            	9.983306e-01	9.832657e-01
99            	9.983309e-01	9.832021e-01
100           	9.983306e-01	9.830767e-01
101           	9.983309e-01	9.830142e-01
102           	9.983306e-01	9.829109e-01
103           	9.983308e-01	9.827958e-01
104           	9.983306e-01	9.826992e-01
105           	9.983308e-01	9.825739e-01
106           	9.983306e-01	9.824691e-01
107           	9.983308e-01	9.823373e-01
108           	9.983305e-01	9.822455e-01
109           	9.983309e-01	9.821350e-01
110           	9.983306e-01	9.820638e-01
111           	9.983308e-01	9.819712e-01
112           	9.983306e-01	9.819117e-01
113           	9.983309e-01	9.818129e-01
114           	9.983307e-01	9.816886e-01
115           	9.983309e-01	9.815093e-01
116           	9.983307e-01	9.813772e-01
117           	9.983310e-01	9.813023e-01
118           	9.983308e-01	9.811311e-01
119           	9.983310e-01	9.810645e-01
120           	9.983307e-01	9.808984e-01
121           	9.983311e-01	9.808337e-01
122           	9.983308e-01	9.806864e-01
123           	9.983310e-01	9.805971e-01
124           	9.983307e-01	9.804868e-01
125           	9.983310e-01	9.803588e-01
126           	9.983308e-01	9.802066e-01
127           	9.983309e-01	9.800831e-01
128           	9.983307e-01	9.799757e-01
129           	9.983310e-01	9.798624e-01
130           	9.983307e-01	9.797948e-01
131           	9.983309e-01	9.797230e-01
132           	9.983306e-01	9.796775e-01
133           	9.983309e-01	9.795992e-01
134           	9.983307e-01	9.795336e-01
135           	9.983309e-01	9.794454e-01
136           	9.983306e-01	9.793799e-01
137           	9.983310e-01	9.792915e-01
138           	9.983307e-01	9.792187e-01
