# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	nuTilda_solver  	nuTilda_initial 	nuTilda_final   	nuTilda_iters   	nuTilda_converged	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
27              	DILUPBiCGStab	1.15135470e-03	8.72462710e-09	5	1.05433650e-02	4.19517200e-09	7	false	DILUPBiCGStab	1.84895310e-03	3.15233100e-09	3	true	GAMG	4.02957840e-02	3.57409250e-03	2	true
28              	DILUPBiCGStab	1.34640870e-03	7.69499320e-09	5	1.07496220e-02	4.30795020e-09	7	false	DILUPBiCGStab	1.86694160e-03	3.35526640e-09	3	true	GAMG	5.58014690e-02	2.12916600e-03	2	true
29              	DILUPBiCGStab	1.31223020e-03	8.73501390e-09	5	9.03876850e-03	5.22582620e-09	7	false	DILUPBiCGStab	1.84028380e-03	3.71758590e-09	3	true	GAMG	5.17249410e-02	4.50477600e-03	1	true
30              	DILUPBiCGStab	1.16375420e-03	4.37959980e-09	6	7.62938770e-03	6.41828180e-09	7	false	DILUPBiCGStab	1.85234460e-03	3.97369360e-09	3	true	GAMG	4.55882640e-02	4.42023430e-03	1	true
31              	DILUPBiCGStab	1.09956460e-03	3.91210860e-09	6	7.48775110e-03	7.38378260e-09	7	false	DILUPBiCGStab	1.81587960e-03	4.11594640e-09	3	true	GAMG	3.99251140e-02	2.37982480e-03	2	true
32              	DILUPBiCGStab	1.05162400e-03	8.98353320e-09	5	8.90093870e-03	9.63235310e-09	7	false	DILUPBiCGStab	1.83105340e-03	4.40331350e-09	3	true	GAMG	3.06456930e-02	1.76615630e-03	2	true
33              	DILUPBiCGStab	8.96587470e-04	4.01412910e-09	6	8.43858390e-03	7.21527750e-09	7	false	DILUPBiCGStab	1.80796640e-03	4.77480310e-09	3	true	GAMG	2.61734230e-02	1.44544910e-03	2	true
34              	DILUPBiCGStab	8.00412880e-04	4.49582180e-09	6	7.90641740e-03	2.58553090e-09	8	false	DILUPBiCGStab	1.82671760e-03	5.16294040e-09	3	true	GAMG	2.48074900e-02	1.14694010e-03	2	true
35              	DILUPBiCGStab	7.79509380e-04	4.66870510e-09	6	7.53643710e-03	9.07231700e-09	7	false	DILUPBiCGStab	1.81965110e-03	5.76302380e-09	3	true	GAMG	2.28966990e-02	2.18314780e-03	1	true
36              	DILUPBiCGStab	7.15825100e-04	4.82287070e-09	6	6.64706320e-03	7.84814130e-09	7	false	DILUPBiCGStab	1.83501710e-03	5.95870720e-09	3	true	GAMG	2.05914320e-02	9.12974000e-04	2	true
37              	DILUPBiCGStab	7.60695690e-04	5.11103670e-09	6	7.60643450e-03	9.96897860e-09	7	false	DILUPBiCGStab	1.83129550e-03	6.52476420e-09	3	true	GAMG	1.82610240e-02	7.21229520e-04	2	true
38              	DILUPBiCGStab	7.37167940e-04	5.20535760e-09	6	7.48794510e-03	4.40301560e-09	7	false	DILUPBiCGStab	1.86105760e-03	7.04701370e-09	3	true	GAMG	1.62151570e-02	7.21524920e-04	2	true
39              	DILUPBiCGStab	7.17878990e-04	5.34731050e-09	6	7.32441660e-03	5.86875590e-09	7	false	DILUPBiCGStab	1.86221920e-03	7.53869540e-09	3	true	GAMG	1.55975140e-02	8.12333430e-04	2	true
40              	DILUPBiCGStab	7.05467300e-04	5.54564840e-09	6	7.10534190e-03	6.19457200e-09	7	false	DILUPBiCGStab	1.89439340e-03	8.04876730e-09	3	true	GAMG	1.53760840e-02	8.83464580e-04	2	true
41              	DILUPBiCGStab	7.02344620e-04	6.02973530e-09	6	6.92929210e-03	5.71742500e-09	7	false	DILUPBiCGStab	1.89985690e-03	8.73157150e-09	3	true	GAMG	1.50419740e-02	9.05436550e-04	2	true
42              	DILUPBiCGStab	7.04941720e-04	7.09983820e-09	6	6.81968220e-03	6.00937920e-09	7	false	DILUPBiCGStab	1.93296940e-03	9.31734100e-09	3	true	GAMG	1.41724940e-02	8.79813770e-04	2	true
43              	DILUPBiCGStab	7.10644730e-04	9.19948300e-09	6	6.76777630e-03	6.97439220e-09	7	false	DILUPBiCGStab	1.94171640e-03	9.86115230e-09	3	true	GAMG	1.29010030e-02	8.20399910e-04	2	true
44              	DILUPBiCGStab	7.16721730e-04	5.67040560e-09	6	6.69554360e-03	8.73851390e-09	7	false	DILUPBiCGStab	1.97557930e-03	1.21011830e-09	4	true	GAMG	1.17343010e-02	7.59049940e-04	2	true
45              	DILUPBiCGStab	7.17624500e-04	8.59049970e-10	7	6.62570250e-03	2.32955650e-09	8	false	DILUPBiCGStab	1.98724460e-03	1.21130740e-09	4	true	GAMG	1.10069760e-02	6.91004090e-04	2	true
46              	DILUPBiCGStab	7.12708110e-04	8.49270020e-10	7	6.53687910e-03	2.40723410e-09	8	false	DILUPBiCGStab	2.02128610e-03	1.17809420e-09	4	true	GAMG	1.05087050e-02	6.13739380e-04	2	true
47              	DILUPBiCGStab	7.01855060e-04	5.57195630e-09	6	6.42132320e-03	2.46307990e-09	8	false	DILUPBiCGStab	2.03511770e-03	1.12495850e-09	4	true	GAMG	1.01205740e-02	5.46251540e-04	2	true
48              	DILUPBiCGStab	6.87426430e-04	3.95408050e-09	6	6.24654140e-03	7.39336750e-09	7	false	DILUPBiCGStab	2.06841440e-03	1.05843510e-09	4	true	GAMG	9.67435300e-03	5.36088560e-04	2	true
49              	DILUPBiCGStab	6.67416590e-04	9.87557000e-09	6	6.04864760e-03	6.82602950e-09	7	false	DILUPBiCGStab	2.08204450e-03	1.13084400e-09	4	true	GAMG	9.01644410e-03	5.55281700e-04	2	true
50              	DILUPBiCGStab	6.45892170e-04	8.61704260e-09	6	5.83682880e-03	6.60778370e-09	7	false	DILUPBiCGStab	2.11332790e-03	4.93010780e-09	4	true	GAMG	8.25848480e-03	5.66331410e-04	2	true
51              	DILUPBiCGStab	6.19931270e-04	7.67188180e-09	6	5.63419820e-03	6.61331680e-09	7	false	DILUPBiCGStab	2.12547800e-03	6.43158720e-09	3	true	GAMG	7.53051620e-03	5.61900560e-04	2	true
52              	DILUPBiCGStab	5.96209020e-04	7.12575680e-09	6	5.43555790e-03	5.91979210e-09	7	false	DILUPBiCGStab	2.15314830e-03	6.28743310e-09	3	true	GAMG	6.93096980e-03	5.44449830e-04	2	true
53              	DILUPBiCGStab	5.73822760e-04	6.91678390e-09	6	5.25365710e-03	6.30617450e-09	7	false	DILUPBiCGStab	2.16270010e-03	6.07412920e-09	3	true	GAMG	6.51903170e-03	5.16188470e-04	2	true
54              	DILUPBiCGStab	5.56743770e-04	6.94929430e-09	6	5.09230870e-03	5.14205790e-09	7	false	DILUPBiCGStab	2.18539950e-03	5.58624810e-09	3	true	GAMG	6.12670340e-03	4.75483340e-04	2	true
55              	DILUPBiCGStab	5.44526550e-04	7.28868290e-09	6	4.94666780e-03	5.67939440e-09	7	false	DILUPBiCGStab	2.19148570e-03	5.04917590e-09	3	true	GAMG	5.74802830e-03	4.29215180e-04	2	true
56              	DILUPBiCGStab	5.37521750e-04	8.49003550e-09	6	4.81431160e-03	8.44612500e-09	7	false	DILUPBiCGStab	2.20717810e-03	4.42526510e-09	3	true	GAMG	5.34531800e-03	3.80524970e-04	2	true
57              	DILUPBiCGStab	5.27734680e-04	6.36831640e-09	6	4.68222380e-03	1.13359050e-09	8	false	DILUPBiCGStab	2.20855520e-03	3.84346960e-09	3	true	GAMG	5.00187670e-03	3.34826210e-04	2	true
58              	DILUPBiCGStab	5.22089390e-04	6.45965280e-09	7	4.55092640e-03	3.50485920e-09	7	false	DILUPBiCGStab	2.21668640e-03	3.26446830e-09	3	true	GAMG	4.73645840e-03	3.29258170e-04	2	true
59              	DILUPBiCGStab	5.11282140e-04	7.22641970e-09	6	4.40851290e-03	8.30066830e-09	7	false	DILUPBiCGStab	2.21336990e-03	2.78362920e-09	3	true	GAMG	4.52178100e-03	3.58074320e-04	2	true
60              	DILUPBiCGStab	5.03931260e-04	9.16554950e-09	5	4.26415620e-03	6.82914740e-09	7	false	DILUPBiCGStab	2.21593170e-03	2.44845990e-09	3	true	GAMG	4.32953490e-03	3.86248310e-04	2	true
61              	DILUPBiCGStab	4.92119350e-04	7.79916470e-09	5	4.11096050e-03	6.42426310e-09	7	false	DILUPBiCGStab	2.20672850e-03	2.35991730e-09	3	true	GAMG	4.16777370e-03	4.00873740e-04	2	true
62              	DILUPBiCGStab	4.85412030e-04	6.67992250e-09	5	3.97080660e-03	6.34189140e-09	7	false	DILUPBiCGStab	2.20344460e-03	2.94739260e-09	3	true	GAMG	4.01017050e-03	1.91135560e-04	3	true
63              	DILUPBiCGStab	4.91845200e-04	5.72077480e-09	5	3.99008640e-03	4.51584210e-09	7	false	DILUPBiCGStab	2.19121360e-03	3.58165920e-09	3	true	GAMG	4.49400630e-03	3.06730200e-04	2	true
64              	DILUPBiCGStab	4.76268650e-04	5.19118810e-09	5	3.55532410e-03	7.42775260e-09	7	false	DILUPBiCGStab	2.18475620e-03	3.73912840e-09	3	true	GAMG	4.08330070e-03	3.29207530e-04	2	true
