# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	nuTilda_solver  	nuTilda_initial 	nuTilda_final   	nuTilda_iters   	nuTilda_converged	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1007            	DILUPBiCGStab	3.21795860e-05	1.42154250e-09	2	2.55882580e-05	7.84422270e-09	2	false	DILUPBiCGStab	1.70966860e-04	1.96384780e-09	1	true	GAMG	3.06539900e-05	1.64191910e-06	1	true
1008            	DILUPBiCGStab	3.31463480e-05	1.38167610e-09	2	2.65677250e-05	7.90118930e-09	2	false	DILUPBiCGStab	1.72282000e-04	1.94158720e-09	1	true	GAMG	2.99993910e-05	1.68516670e-06	1	true
1009            	DILUPBiCGStab	3.21554480e-05	1.42023500e-09	2	2.55755320e-05	7.83163150e-09	2	false	DILUPBiCGStab	1.70739270e-04	1.95987500e-09	1	true	GAMG	3.06481400e-05	1.63994400e-06	1	true
1010            	DILUPBiCGStab	3.31219220e-05	1.38042070e-09	2	2.65546710e-05	7.88891540e-09	2	false	DILUPBiCGStab	1.72053080e-04	1.93765160e-09	1	true	GAMG	2.99936680e-05	1.68324570e-06	1	true
1011            	DILUPBiCGStab	3.21313420e-05	1.41893130e-09	2	2.55628160e-05	7.81907070e-09	2	false	DILUPBiCGStab	1.70512240e-04	1.95591230e-09	1	true	GAMG	3.06422790e-05	1.63798040e-06	1	true
1012            	DILUPBiCGStab	3.30975450e-05	1.37917010e-09	2	2.65416510e-05	7.87665100e-09	2	false	DILUPBiCGStab	1.71824800e-04	1.93372850e-09	1	true	GAMG	2.99879960e-05	1.68132950e-06	1	true
1013            	DILUPBiCGStab	3.21073020e-05	1.41763260e-09	2	2.55501370e-05	7.80654190e-09	2	false	DILUPBiCGStab	1.70285980e-04	1.95196600e-09	1	true	GAMG	3.06364090e-05	1.63602160e-06	1	true
1014            	DILUPBiCGStab	3.30732190e-05	1.37792910e-09	2	2.65286670e-05	7.86441810e-09	2	false	DILUPBiCGStab	1.71597190e-04	1.92981840e-09	1	true	GAMG	2.99823610e-05	1.67942270e-06	1	true
1015            	DILUPBiCGStab	3.20832930e-05	1.41634000e-09	2	2.55374720e-05	7.79403160e-09	2	false	DILUPBiCGStab	1.70060260e-04	1.94803010e-09	1	true	GAMG	3.06305410e-05	1.63406470e-06	1	true
1016            	DILUPBiCGStab	3.30489260e-05	1.37669100e-09	2	2.65156980e-05	7.85232630e-09	2	false	DILUPBiCGStab	1.71370140e-04	1.92591970e-09	1	true	GAMG	2.99769100e-05	1.67753210e-06	1	true
1017            	DILUPBiCGStab	3.20593150e-05	1.41505430e-09	2	2.55248220e-05	7.78154020e-09	2	false	DILUPBiCGStab	1.69835120e-04	1.94410580e-09	1	true	GAMG	3.06247660e-05	1.63210990e-06	1	true
1018            	DILUPBiCGStab	3.30246690e-05	1.37545610e-09	2	2.65027680e-05	7.84030060e-09	2	false	DILUPBiCGStab	1.71143680e-04	1.92203220e-09	1	true	GAMG	2.99716470e-05	1.67564390e-06	1	true
1019            	DILUPBiCGStab	3.20353740e-05	1.41377230e-09	2	2.55122700e-05	7.76917430e-09	2	false	DILUPBiCGStab	1.69610570e-04	1.94019250e-09	1	true	GAMG	3.06189880e-05	1.63015670e-06	1	true
1020            	DILUPBiCGStab	3.30004430e-05	1.37422570e-09	2	2.64899080e-05	7.82828560e-09	2	false	DILUPBiCGStab	1.70917810e-04	1.91815560e-09	1	true	GAMG	2.99664190e-05	1.67375680e-06	1	true
1021            	DILUPBiCGStab	3.20114830e-05	1.41249400e-09	2	2.54997530e-05	7.75689620e-09	2	false	DILUPBiCGStab	1.69386590e-04	1.93629090e-09	1	true	GAMG	3.06131950e-05	1.62821100e-06	1	true
1022            	DILUPBiCGStab	3.29762890e-05	1.37299860e-09	2	2.64770630e-05	7.81628130e-09	2	false	DILUPBiCGStab	1.70692510e-04	1.91429110e-09	1	true	GAMG	2.99611670e-05	1.67187290e-06	1	true
1023            	DILUPBiCGStab	3.19876420e-05	1.41121940e-09	2	2.54872440e-05	7.74464550e-09	2	false	DILUPBiCGStab	1.69163190e-04	1.93240090e-09	1	true	GAMG	3.06074100e-05	1.62626740e-06	1	true
1024            	DILUPBiCGStab	3.29521630e-05	1.37178010e-09	2	2.64642310e-05	7.80428880e-09	2	false	DILUPBiCGStab	1.70467800e-04	1.91043860e-09	1	true	GAMG	2.99558910e-05	1.66999050e-06	1	true
1025            	DILUPBiCGStab	3.19638310e-05	1.40994850e-09	2	2.54747470e-05	7.73241410e-09	2	false	DILUPBiCGStab	1.68940370e-04	1.92852180e-09	1	true	GAMG	3.06016610e-05	1.62433020e-06	1	true
1026            	DILUPBiCGStab	3.29280680e-05	1.37057180e-09	2	2.64514370e-05	7.79231570e-09	2	false	DILUPBiCGStab	1.70243670e-04	1.90659960e-09	1	true	GAMG	2.99505950e-05	1.66811170e-06	1	true
1027            	DILUPBiCGStab	3.19400500e-05	1.40868120e-09	2	2.54622940e-05	7.72020280e-09	2	false	DILUPBiCGStab	1.68718120e-04	1.92465420e-09	1	true	GAMG	3.05959480e-05	1.62241450e-06	1	true
1028            	DILUPBiCGStab	3.29040090e-05	1.36937820e-09	2	2.64386670e-05	7.78092300e-09	2	false	DILUPBiCGStab	1.70020090e-04	1.90277210e-09	1	true	GAMG	2.99452860e-05	1.66624150e-06	1	true
1029            	DILUPBiCGStab	3.19163270e-05	1.40742440e-09	2	2.54498780e-05	7.70801340e-09	2	false	DILUPBiCGStab	1.68496470e-04	1.92079820e-09	1	true	GAMG	3.05902820e-05	1.62050170e-06	1	true
1030            	DILUPBiCGStab	3.28800250e-05	1.36818760e-09	2	2.64259430e-05	7.76961720e-09	2	false	DILUPBiCGStab	1.69797200e-04	1.89895600e-09	1	true	GAMG	2.99399570e-05	1.66437580e-06	1	true
1031            	DILUPBiCGStab	3.18926520e-05	1.40617190e-09	2	2.54374960e-05	7.69584440e-09	2	false	DILUPBiCGStab	1.68275430e-04	1.91695580e-09	1	true	GAMG	3.05846080e-05	1.61860300e-06	1	true
1032            	DILUPBiCGStab	3.28560720e-05	1.36700000e-09	2	2.64132460e-05	7.75833000e-09	2	false	DILUPBiCGStab	1.69574820e-04	1.89515000e-09	1	true	GAMG	2.99346730e-05	1.66251520e-06	1	true
1033            	DILUPBiCGStab	3.18690080e-05	1.40492310e-09	2	2.54251380e-05	7.68387810e-09	2	false	DILUPBiCGStab	1.68054960e-04	1.91312530e-09	1	true	GAMG	3.05789180e-05	1.61670690e-06	1	true
1034            	DILUPBiCGStab	3.28321480e-05	1.36581700e-09	2	2.64005680e-05	7.74717320e-09	2	false	DILUPBiCGStab	1.69353100e-04	1.89135610e-09	1	true	GAMG	2.99293750e-05	1.66065630e-06	1	true
1035            	DILUPBiCGStab	3.18454060e-05	1.40367790e-09	2	2.54127930e-05	7.67195980e-09	2	false	DILUPBiCGStab	1.67835080e-04	1.90930620e-09	1	true	GAMG	3.05732280e-05	1.61481310e-06	1	true
1036            	DILUPBiCGStab	3.28082900e-05	1.36464550e-09	2	2.63879070e-05	7.73613330e-09	2	false	DILUPBiCGStab	1.69131910e-04	1.88757270e-09	1	true	GAMG	2.99241390e-05	1.65880300e-06	1	true
1037            	DILUPBiCGStab	3.18218740e-05	1.40243620e-09	2	2.54004580e-05	7.66006260e-09	2	false	DILUPBiCGStab	1.67615750e-04	1.90549790e-09	1	true	GAMG	3.05675390e-05	1.61292160e-06	1	true
1038            	DILUPBiCGStab	3.27844770e-05	1.36348240e-09	2	2.63752720e-05	7.72509860e-09	2	false	DILUPBiCGStab	1.68911290e-04	1.88380030e-09	1	true	GAMG	2.99188900e-05	1.65695540e-06	1	true
1039            	DILUPBiCGStab	3.17983700e-05	1.40121530e-09	2	2.53881310e-05	7.64818670e-09	2	false	DILUPBiCGStab	1.67396990e-04	1.90170110e-09	1	true	GAMG	3.05618330e-05	1.61103270e-06	1	true
1040            	DILUPBiCGStab	3.27606930e-05	1.36232180e-09	2	2.63626470e-05	7.71406860e-09	2	false	DILUPBiCGStab	1.68691230e-04	1.88003910e-09	1	true	GAMG	2.99136210e-05	1.65510910e-06	1	true
1041            	DILUPBiCGStab	3.17749120e-05	1.39999780e-09	2	2.53758190e-05	7.63635440e-09	2	false	DILUPBiCGStab	1.67178780e-04	1.89791510e-09	1	true	GAMG	3.05561240e-05	1.60914520e-06	1	true
1042            	DILUPBiCGStab	3.27369880e-05	1.36116390e-09	2	2.63500290e-05	7.70304380e-09	2	false	DILUPBiCGStab	1.68471730e-04	1.87628850e-09	1	true	GAMG	2.99083320e-05	1.65326420e-06	1	true
1043            	DILUPBiCGStab	3.17515250e-05	1.39878370e-09	2	2.53635200e-05	7.62475700e-09	2	false	DILUPBiCGStab	1.66961120e-04	1.89413970e-09	1	true	GAMG	3.05504590e-05	1.60725960e-06	1	true
1044            	DILUPBiCGStab	3.27133240e-05	1.36000860e-09	2	2.63374200e-05	7.69202490e-09	2	false	DILUPBiCGStab	1.68252790e-04	1.87254830e-09	1	true	GAMG	2.99030230e-05	1.65142850e-06	1	true
1045            	DILUPBiCGStab	3.17281680e-05	1.39757300e-09	2	2.53512510e-05	7.61326570e-09	2	false	DILUPBiCGStab	1.66744020e-04	1.89037530e-09	1	true	GAMG	3.05447790e-05	1.60537720e-06	1	true
1046            	DILUPBiCGStab	3.26897110e-05	1.35885610e-09	2	2.63248570e-05	7.68101280e-09	2	false	DILUPBiCGStab	1.68034400e-04	1.86881970e-09	1	true	GAMG	2.98976990e-05	1.64959620e-06	1	true
1047            	DILUPBiCGStab	3.17048930e-05	1.39636570e-09	2	2.53390640e-05	7.60179410e-09	2	false	DILUPBiCGStab	1.66527470e-04	1.88662290e-09	1	true	GAMG	3.05390840e-05	1.60349760e-06	1	true
1048            	DILUPBiCGStab	3.26661760e-05	1.35770950e-09	2	2.63123440e-05	7.67000810e-09	2	false	DILUPBiCGStab	1.67816580e-04	1.86510210e-09	1	true	GAMG	2.98923580e-05	1.64777020e-06	1	true
1049            	DILUPBiCGStab	3.16816640e-05	1.39516180e-09	2	2.53268890e-05	7.59034200e-09	2	false	DILUPBiCGStab	1.66311490e-04	1.88288110e-09	1	true	GAMG	3.05333720e-05	1.60162940e-06	1	true
1050            	DILUPBiCGStab	3.26426870e-05	1.35657340e-09	2	2.62998390e-05	7.65901060e-09	2	false	DILUPBiCGStab	1.67599330e-04	1.86139550e-09	1	true	GAMG	2.98870050e-05	1.64594570e-06	1	true
1051            	DILUPBiCGStab	3.16585200e-05	1.39396120e-09	2	2.53147330e-05	7.57902060e-09	2	false	DILUPBiCGStab	1.66096070e-04	1.87915110e-09	1	true	GAMG	3.05276460e-05	1.59976360e-06	1	true
1052            	DILUPBiCGStab	3.26192950e-05	1.35544000e-09	2	2.62873540e-05	7.64802130e-09	2	false	DILUPBiCGStab	1.67382630e-04	1.85770020e-09	1	true	GAMG	2.98816380e-05	1.64408060e-06	1	true
1053            	DILUPBiCGStab	3.16354300e-05	1.39276560e-09	2	2.53025730e-05	7.56776940e-09	2	false	DILUPBiCGStab	1.65881190e-04	1.87543170e-09	1	true	GAMG	3.05218830e-05	1.59793640e-06	1	true
1054            	DILUPBiCGStab	3.25959630e-05	1.35431240e-09	2	2.62748720e-05	7.63703040e-09	2	false	DILUPBiCGStab	1.67166470e-04	1.85401540e-09	1	true	GAMG	2.98762680e-05	1.64231120e-06	1	true
1055            	DILUPBiCGStab	3.16124450e-05	1.39157910e-09	2	2.52904310e-05	7.55652860e-09	2	false	DILUPBiCGStab	1.65666830e-04	1.87172260e-09	1	true	GAMG	3.05161800e-05	1.59613730e-06	1	true
1056            	DILUPBiCGStab	3.25727160e-05	1.35318710e-09	2	2.62623970e-05	7.62607460e-09	2	false	DILUPBiCGStab	1.66950810e-04	1.85034080e-09	1	true	GAMG	2.98709510e-05	1.64057470e-06	1	true
1057            	DILUPBiCGStab	3.15895360e-05	1.39039580e-09	2	2.52783370e-05	7.54530740e-09	2	false	DILUPBiCGStab	1.65453000e-04	1.86802390e-09	1	true	GAMG	3.05105190e-05	1.59435790e-06	1	true
1058            	DILUPBiCGStab	3.25495800e-05	1.35206380e-09	2	2.62499530e-05	7.61514810e-09	2	false	DILUPBiCGStab	1.66735790e-04	1.84667720e-09	1	true	GAMG	2.98656690e-05	1.63884810e-06	1	true
1059            	DILUPBiCGStab	3.15668170e-05	1.38921560e-09	2	2.52662690e-05	7.53410520e-09	2	false	DILUPBiCGStab	1.65239810e-04	1.86433660e-09	1	true	GAMG	3.05049050e-05	1.59258870e-06	1	true
1060            	DILUPBiCGStab	3.25271640e-05	1.35094280e-09	2	2.62375290e-05	7.60422900e-09	2	false	DILUPBiCGStab	1.66521300e-04	1.84302410e-09	1	true	GAMG	2.98603750e-05	1.63712330e-06	1	true
1061            	DILUPBiCGStab	3.15451890e-05	1.38803810e-09	2	2.52542220e-05	7.52291960e-09	2	false	DILUPBiCGStab	1.65027120e-04	1.86065940e-09	1	true	GAMG	3.04993590e-05	1.59081610e-06	1	true
1062            	DILUPBiCGStab	3.25052580e-05	1.34982460e-09	2	2.62251440e-05	7.59337010e-09	2	false	DILUPBiCGStab	1.66307340e-04	1.83938110e-09	1	true	GAMG	2.98550540e-05	1.63538500e-06	1	true
1063            	DILUPBiCGStab	3.15235850e-05	1.38686380e-09	2	2.52422000e-05	7.51190870e-09	2	false	DILUPBiCGStab	1.64814960e-04	1.85699250e-09	1	true	GAMG	3.04937740e-05	1.58903060e-06	1	true
1064            	DILUPBiCGStab	3.24833760e-05	1.34870960e-09	2	2.62127820e-05	7.58265190e-09	2	false	DILUPBiCGStab	1.66093940e-04	1.83574830e-09	1	true	GAMG	2.98496970e-05	1.63363630e-06	1	true
1065            	DILUPBiCGStab	3.15020060e-05	1.38569260e-09	2	2.52301930e-05	7.50097170e-09	2	false	DILUPBiCGStab	1.64603360e-04	1.85333580e-09	1	true	GAMG	3.04881340e-05	1.58723200e-06	1	true
1066            	DILUPBiCGStab	3.24615190e-05	1.34759930e-09	2	2.62004410e-05	7.57201120e-09	2	false	DILUPBiCGStab	1.65881080e-04	1.83212570e-09	1	true	GAMG	2.98442970e-05	1.63187000e-06	1	true
1067            	DILUPBiCGStab	3.14804500e-05	1.38453280e-09	2	2.52181980e-05	7.49012240e-09	2	false	DILUPBiCGStab	1.64392290e-04	1.84968930e-09	1	true	GAMG	3.04824420e-05	1.58541950e-06	1	true
1068            	DILUPBiCGStab	3.24396850e-05	1.34649230e-09	2	2.61881140e-05	7.56138710e-09	2	false	DILUPBiCGStab	1.65668750e-04	1.82851310e-09	1	true	GAMG	2.98388540e-05	1.63008390e-06	1	true
1069            	DILUPBiCGStab	3.14589160e-05	1.38338030e-09	2	2.52062130e-05	7.47944040e-09	2	false	DILUPBiCGStab	1.64181750e-04	1.84605310e-09	1	true	GAMG	3.04767220e-05	1.58359730e-06	1	true
1070            	DILUPBiCGStab	3.24178740e-05	1.34538830e-09	2	2.61758100e-05	7.55077240e-09	2	false	DILUPBiCGStab	1.65456950e-04	1.82491070e-09	1	true	GAMG	2.98333710e-05	1.62828210e-06	1	true
1071            	DILUPBiCGStab	3.14374050e-05	1.38223170e-09	2	2.51942770e-05	7.46892400e-09	2	false	DILUPBiCGStab	1.63971730e-04	1.84242700e-09	1	true	GAMG	3.04710320e-05	1.58176400e-06	1	true
1072            	DILUPBiCGStab	3.23960860e-05	1.34428700e-09	2	2.61635810e-05	7.54016730e-09	2	false	DILUPBiCGStab	1.65245680e-04	1.82131820e-09	1	true	GAMG	2.98278670e-05	1.62647550e-06	1	true
1073            	DILUPBiCGStab	3.14159160e-05	1.38108660e-09	2	2.51823820e-05	7.45845490e-09	2	false	DILUPBiCGStab	1.63762230e-04	1.83881100e-09	1	true	GAMG	3.04654440e-05	1.57992450e-06	1	true
1074            	DILUPBiCGStab	3.23743210e-05	1.34318810e-09	2	2.61513650e-05	7.52956930e-09	2	false	DILUPBiCGStab	1.65034930e-04	1.81773580e-09	1	true	GAMG	2.98224170e-05	1.62466800e-06	1	true
1075            	DILUPBiCGStab	3.13944500e-05	1.37994490e-09	2	2.51705220e-05	7.44801380e-09	2	false	DILUPBiCGStab	1.63553260e-04	1.83520500e-09	1	true	GAMG	3.04598640e-05	1.57808810e-06	1	true
1076            	DILUPBiCGStab	3.23525790e-05	1.34209150e-09	2	2.61391840e-05	7.51897830e-09	2	false	DILUPBiCGStab	1.64824710e-04	1.81416330e-09	1	true	GAMG	2.98169640e-05	1.62286340e-06	1	true
1077            	DILUPBiCGStab	3.13730060e-05	1.37880680e-09	2	2.51586930e-05	7.43781730e-09	2	false	DILUPBiCGStab	1.63344830e-04	1.83160930e-09	1	true	GAMG	3.04542800e-05	1.57626830e-06	1	true
1078            	DILUPBiCGStab	3.23308610e-05	1.34101190e-09	2	2.61270330e-05	7.50839540e-09	2	false	DILUPBiCGStab	1.64615090e-04	1.81060180e-09	1	true	GAMG	2.98115140e-05	1.62107620e-06	1	true
1079            	DILUPBiCGStab	3.13515890e-05	1.37767220e-09	2	2.51468790e-05	7.42787440e-09	2	false	DILUPBiCGStab	1.63136990e-04	1.82802480e-09	1	true	GAMG	3.04487240e-05	1.57446570e-06	1	true
1080            	DILUPBiCGStab	3.23091730e-05	1.33993480e-09	2	2.61148870e-05	7.49782220e-09	2	false	DILUPBiCGStab	1.64405990e-04	1.80705040e-09	1	true	GAMG	2.98061130e-05	1.61930420e-06	1	true
1081            	DILUPBiCGStab	3.13302000e-05	1.37655360e-09	2	2.51350700e-05	7.41795530e-09	2	false	DILUPBiCGStab	1.62929650e-04	1.82445010e-09	1	true	GAMG	3.04431660e-05	1.57268410e-06	1	true
1082            	DILUPBiCGStab	3.22875100e-05	1.33886030e-09	2	2.61027440e-05	7.48725970e-09	2	false	DILUPBiCGStab	1.64197420e-04	1.80350900e-09	1	true	GAMG	2.98008540e-05	1.61754490e-06	1	true
1083            	DILUPBiCGStab	3.13088350e-05	1.37544080e-09	2	2.51232650e-05	7.40807440e-09	2	false	DILUPBiCGStab	1.62722820e-04	1.82088540e-09	1	true	GAMG	3.04376030e-05	1.57091930e-06	1	true
1084            	DILUPBiCGStab	3.22658720e-05	1.33778840e-09	2	2.60906050e-05	7.47672390e-09	2	false	DILUPBiCGStab	1.63989350e-04	1.79997750e-09	1	true	GAMG	2.97955970e-05	1.61580090e-06	1	true
1085            	DILUPBiCGStab	3.12874930e-05	1.37433340e-09	2	2.51114740e-05	7.39820210e-09	2	false	DILUPBiCGStab	1.62516510e-04	1.81733070e-09	1	true	GAMG	3.04320400e-05	1.56916710e-06	1	true
1086            	DILUPBiCGStab	3.22442650e-05	1.33671920e-09	2	2.60784730e-05	7.46624160e-09	2	false	DILUPBiCGStab	1.63781800e-04	1.79645590e-09	1	true	GAMG	2.97903360e-05	1.61407310e-06	1	true
1087            	DILUPBiCGStab	3.12661810e-05	1.37322900e-09	2	2.50997000e-05	7.38833920e-09	2	false	DILUPBiCGStab	1.62310710e-04	1.81378590e-09	1	true	GAMG	3.04264710e-05	1.56742490e-06	1	true
1088            	DILUPBiCGStab	3.22226830e-05	1.33565290e-09	2	2.60663600e-05	7.45577240e-09	2	false	DILUPBiCGStab	1.63574790e-04	1.79294410e-09	1	true	GAMG	2.97850720e-05	1.61235850e-06	1	true
1089            	DILUPBiCGStab	3.12448960e-05	1.37212750e-09	2	2.50879460e-05	7.37848790e-09	2	false	DILUPBiCGStab	1.62105450e-04	1.81025110e-09	1	true	GAMG	3.04209080e-05	1.56568990e-06	1	true
1090            	DILUPBiCGStab	3.22011250e-05	1.33458960e-09	2	2.60542690e-05	7.44556240e-09	2	false	DILUPBiCGStab	1.63368300e-04	1.78944220e-09	1	true	GAMG	2.97797940e-05	1.61066360e-06	1	true
1091            	DILUPBiCGStab	3.12236340e-05	1.37102880e-09	2	2.50762020e-05	7.36864730e-09	2	false	DILUPBiCGStab	1.61900700e-04	1.80672620e-09	1	true	GAMG	3.04153490e-05	1.56397010e-06	1	true
1092            	DILUPBiCGStab	3.21795900e-05	1.33352920e-09	2	2.60421960e-05	7.43576820e-09	2	false	DILUPBiCGStab	1.63162320e-04	1.78595020e-09	1	true	GAMG	2.97745030e-05	1.60897550e-06	1	true
1093            	DILUPBiCGStab	3.12023940e-05	1.36993310e-09	2	2.50644960e-05	7.35881750e-09	2	false	DILUPBiCGStab	1.61696460e-04	1.80321120e-09	1	true	GAMG	3.04098330e-05	1.56225670e-06	1	true
1094            	DILUPBiCGStab	3.21580780e-05	1.33247410e-09	2	2.60301970e-05	7.42602930e-09	2	false	DILUPBiCGStab	1.62956850e-04	1.78246790e-09	1	true	GAMG	2.97692000e-05	1.60729340e-06	1	true
1095            	DILUPBiCGStab	3.11811770e-05	1.36884030e-09	2	2.50528470e-05	7.34900000e-09	2	false	DILUPBiCGStab	1.61492710e-04	1.79970600e-09	1	true	GAMG	3.04043340e-05	1.56054210e-06	1	true
1096            	DILUPBiCGStab	3.21365890e-05	1.33142220e-09	2	2.60182230e-05	7.41629470e-09	2	false	DILUPBiCGStab	1.62751890e-04	1.77899530e-09	1	true	GAMG	2.97639310e-05	1.60560980e-06	1	true
1097            	DILUPBiCGStab	3.11599820e-05	1.36775050e-09	2	2.50412220e-05	7.33920010e-09	2	false	DILUPBiCGStab	1.61289490e-04	1.79621060e-09	1	true	GAMG	3.03988430e-05	1.55882450e-06	1	true
1098            	DILUPBiCGStab	3.21151230e-05	1.33037850e-09	2	2.60062660e-05	7.40656470e-09	2	false	DILUPBiCGStab	1.62547450e-04	1.77553250e-09	1	true	GAMG	2.97587420e-05	1.60392350e-06	1	true
1099            	DILUPBiCGStab	3.11388110e-05	1.36666360e-09	2	2.50296210e-05	7.32942340e-09	2	false	DILUPBiCGStab	1.61086780e-04	1.79272500e-09	1	true	GAMG	3.03933470e-05	1.55711030e-06	1	true
1100            	DILUPBiCGStab	3.20936810e-05	1.32934260e-09	2	2.59943330e-05	7.39685570e-09	2	false	DILUPBiCGStab	1.62343550e-04	1.77207930e-09	1	true	GAMG	2.97535460e-05	1.60223860e-06	1	true
1101            	DILUPBiCGStab	3.11176620e-05	1.36557960e-09	2	2.50180320e-05	7.31966010e-09	2	false	DILUPBiCGStab	1.60884600e-04	1.78924920e-09	1	true	GAMG	3.03878570e-05	1.55540440e-06	1	true
1102            	DILUPBiCGStab	3.20722630e-05	1.32830910e-09	2	2.59824160e-05	7.38724340e-09	2	false	DILUPBiCGStab	1.62140140e-04	1.76863640e-09	1	true	GAMG	2.97483470e-05	1.60055220e-06	1	true
1103            	DILUPBiCGStab	3.10965350e-05	1.36449870e-09	2	2.50064580e-05	7.30991030e-09	2	false	DILUPBiCGStab	1.60682890e-04	1.78578410e-09	1	true	GAMG	3.03823490e-05	1.55369680e-06	1	true
1104            	DILUPBiCGStab	3.20508690e-05	1.32727800e-09	2	2.59705090e-05	7.37767270e-09	2	false	DILUPBiCGStab	1.61937250e-04	1.76520350e-09	1	true	GAMG	2.97431360e-05	1.59886550e-06	1	true
1105            	DILUPBiCGStab	3.10754340e-05	1.36342080e-09	2	2.49948940e-05	7.30024610e-09	2	false	DILUPBiCGStab	1.60481740e-04	1.78232870e-09	1	true	GAMG	3.03768290e-05	1.55199430e-06	1	true
1106            	DILUPBiCGStab	3.20295010e-05	1.32625300e-09	2	2.59586130e-05	7.36824420e-09	2	false	DILUPBiCGStab	1.61734880e-04	1.76178030e-09	1	true	GAMG	2.97379350e-05	1.59718560e-06	1	true
1107            	DILUPBiCGStab	3.10543600e-05	1.36234620e-09	2	2.49833380e-05	7.29067230e-09	2	false	DILUPBiCGStab	1.60281070e-04	1.77888300e-09	1	true	GAMG	3.03712930e-05	1.55030580e-06	1	true
1108            	DILUPBiCGStab	3.20081640e-05	1.32523100e-09	2	2.59467240e-05	7.35882220e-09	2	false	DILUPBiCGStab	1.61533000e-04	1.75836670e-09	1	true	GAMG	2.97327720e-05	1.59550760e-06	1	true
1109            	DILUPBiCGStab	3.10333130e-05	1.36127520e-09	2	2.49717950e-05	7.28112280e-09	2	false	DILUPBiCGStab	1.60080900e-04	1.77544690e-09	1	true	GAMG	3.03657520e-05	1.54862780e-06	1	true
1110            	DILUPBiCGStab	3.19868510e-05	1.32421170e-09	2	2.59348460e-05	7.34942040e-09	2	false	DILUPBiCGStab	1.61331650e-04	1.75496270e-09	1	true	GAMG	2.97276140e-05	1.59383240e-06	1	true
1111            	DILUPBiCGStab	3.10122890e-05	1.36021040e-09	2	2.49602590e-05	7.27164360e-09	2	false	DILUPBiCGStab	1.59881270e-04	1.77202040e-09	1	true	GAMG	3.03602070e-05	1.54695390e-06	1	true
1112            	DILUPBiCGStab	3.19655590e-05	1.32319480e-09	2	2.59229790e-05	7.34002500e-09	2	false	DILUPBiCGStab	1.61130820e-04	1.75156810e-09	1	true	GAMG	2.97224430e-05	1.59216470e-06	1	true
1113            	DILUPBiCGStab	3.09912860e-05	1.35915090e-09	2	2.49487510e-05	7.26217670e-09	2	false	DILUPBiCGStab	1.59682120e-04	1.76860350e-09	1	true	GAMG	3.03546600e-05	1.54528590e-06	1	true
1114            	DILUPBiCGStab	3.19442910e-05	1.32218020e-09	2	2.59111620e-05	7.33063600e-09	2	false	DILUPBiCGStab	1.60930500e-04	1.74818310e-09	1	true	GAMG	2.97172630e-05	1.59051110e-06	1	true
1115            	DILUPBiCGStab	3.09703060e-05	1.35809800e-09	2	2.49372880e-05	7.25272230e-09	2	false	DILUPBiCGStab	1.59483520e-04	1.76519620e-09	1	true	GAMG	3.03491120e-05	1.54362870e-06	1	true
1116            	DILUPBiCGStab	3.19230450e-05	1.32116800e-09	2	2.58993730e-05	7.32127740e-09	2	false	DILUPBiCGStab	1.60730710e-04	1.74480750e-09	1	true	GAMG	2.97120770e-05	1.58887220e-06	1	true
1117            	DILUPBiCGStab	3.09493480e-05	1.35704820e-09	2	2.49258360e-05	7.24328320e-09	2	false	DILUPBiCGStab	1.59285430e-04	1.76179850e-09	1	true	GAMG	3.03435610e-05	1.54197850e-06	1	true
1118            	DILUPBiCGStab	3.19018220e-05	1.32016840e-09	2	2.58875980e-05	7.31202600e-09	2	false	DILUPBiCGStab	1.60531450e-04	1.74144140e-09	1	true	GAMG	2.97068960e-05	1.58725230e-06	1	true
1119            	DILUPBiCGStab	3.09284140e-05	1.35600130e-09	2	2.49144070e-05	7.23385850e-09	2	false	DILUPBiCGStab	1.59087880e-04	1.75841020e-09	1	true	GAMG	3.03380200e-05	1.54033460e-06	1	true
1120            	DILUPBiCGStab	3.18806240e-05	1.31917150e-09	2	2.58758470e-05	7.30306250e-09	2	false	DILUPBiCGStab	1.60332730e-04	1.73808450e-09	1	true	GAMG	2.97017080e-05	1.58564330e-06	1	true
1121            	DILUPBiCGStab	3.09075040e-05	1.35495720e-09	2	2.49030640e-05	7.22444730e-09	2	false	DILUPBiCGStab	1.58890930e-04	1.75503120e-09	1	true	GAMG	3.03325080e-05	1.53869530e-06	1	true
1122            	DILUPBiCGStab	3.18594500e-05	1.31817680e-09	2	2.58641470e-05	7.29410260e-09	2	false	DILUPBiCGStab	1.60134720e-04	1.73473730e-09	1	true	GAMG	2.96965130e-05	1.58404610e-06	1	true
1123            	DILUPBiCGStab	3.08866170e-05	1.35391590e-09	2	2.48917460e-05	7.21504950e-09	2	false	DILUPBiCGStab	1.58694650e-04	1.75166220e-09	1	true	GAMG	3.03271210e-05	1.53706000e-06	1	true
1124            	DILUPBiCGStab	3.18383000e-05	1.31718450e-09	2	2.58524760e-05	7.28514690e-09	2	false	DILUPBiCGStab	1.59937280e-04	1.73140020e-09	1	true	GAMG	2.96913140e-05	1.58245580e-06	1	true
