# Region type : functionObjectSurface sampled.plane3
# Faces       : 520
# Area        : 3.004626e-03
# Scale factor: 1.000000e+00
# Time        	uniformity(U)	uniformity(p)
1             	9.766718e-01	9.907616e-01
2             	9.772707e-01	9.867533e-01
3             	9.765052e-01	9.902638e-01
4             	9.763416e-01	9.868354e-01
5             	9.763697e-01	9.798870e-01
6             	9.763637e-01	9.721763e-01
7             	9.761186e-01	9.697509e-01
8             	9.759128e-01	9.714040e-01
9             	9.755740e-01	9.718877e-01
10            	9.750974e-01	9.541978e-01
11            	9.741923e-01	9.566251e-01
12            	9.729591e-01	9.619569e-01
13            	9.713936e-01	9.632221e-01
14            	9.689646e-01	9.631403e-01
15            	9.658241e-01	9.619722e-01
16            	9.623673e-01	9.615029e-01
17            	9.586492e-01	9.617015e-01
18            	9.548078e-01	9.622048e-01
19            	9.507834e-01	9.625561e-01
20            	9.466674e-01	9.629229e-01
21            	9.425545e-01	9.631598e-01
22            	9.384401e-01	9.629626e-01
23            	9.343201e-01	9.620742e-01
24            	9.302377e-01	9.607292e-01
25            	9.261082e-01	9.591131e-01
26            	9.220596e-01	9.572876e-01
27            	9.180942e-01	9.554294e-01
28            	9.142407e-01	9.525478e-01
29            	9.105315e-01	9.495122e-01
30            	9.069045e-01	9.462211e-01
31            	9.034143e-01	9.429915e-01
32            	9.000263e-01	9.394081e-01
33            	8.967777e-01	9.358519e-01
34            	8.936815e-01	9.321106e-01
35            	8.907776e-01	9.292596e-01
36            	8.880346e-01	9.270982e-01
37            	8.854508e-01	9.239617e-01
38            	8.830135e-01	9.211140e-01
39            	8.807034e-01	9.182936e-01
40            	8.784987e-01	9.157022e-01
41            	8.764055e-01	9.126789e-01
42            	8.744102e-01	9.098431e-01
43            	8.724927e-01	9.068079e-01
44            	8.706461e-01	9.037266e-01
45            	8.688741e-01	9.006195e-01
46            	8.671537e-01	8.968771e-01
47            	8.654812e-01	8.934250e-01
48            	8.638557e-01	8.888201e-01
49            	8.622785e-01	8.846044e-01
50            	8.607547e-01	8.803466e-01
51            	8.592738e-01	8.741734e-01
52            	8.578217e-01	8.680591e-01
53            	8.564008e-01	8.616089e-01
54            	8.549896e-01	8.549462e-01
55            	8.535842e-01	8.480321e-01
56            	8.521969e-01	8.391596e-01
57            	8.507755e-01	8.285681e-01
58            	8.493727e-01	8.167389e-01
59            	8.479498e-01	8.015424e-01
60            	8.465258e-01	7.857807e-01
61            	8.450800e-01	7.648393e-01
62            	8.436301e-01	7.390953e-01
63            	8.421515e-01	7.010904e-01
64            	8.406201e-01	6.547531e-01
65            	8.390609e-01	5.948686e-01
66            	8.374682e-01	5.113735e-01
67            	8.358475e-01	4.085554e-01
68            	8.341997e-01	2.542965e-01
69            	8.325191e-01	0.000000e+00
70            	8.308183e-01	0.000000e+00
71            	8.290666e-01	0.000000e+00
72            	8.272780e-01	0.000000e+00
73            	8.254382e-01	0.000000e+00
74            	8.235592e-01	3.205371e-01
75            	8.216520e-01	4.786604e-01
76            	8.197220e-01	5.754593e-01
77            	8.177941e-01	6.272827e-01
78            	8.158618e-01	6.680015e-01
79            	8.139284e-01	6.974948e-01
80            	8.119818e-01	7.230211e-01
81            	8.099888e-01	7.418723e-01
82            	8.079809e-01	7.598067e-01
83            	8.059554e-01	7.738769e-01
84            	8.038703e-01	7.839583e-01
85            	8.017563e-01	7.956251e-01
86            	7.996266e-01	8.014599e-01
87            	7.974554e-01	8.084404e-01
88            	7.952151e-01	8.133037e-01
89            	7.928946e-01	8.175728e-01
90            	7.904778e-01	8.223882e-01
91            	7.879484e-01	8.249405e-01
92            	7.852846e-01	8.286593e-01
93            	7.824513e-01	8.308962e-01
94            	7.794591e-01	8.334152e-01
95            	7.763022e-01	8.358309e-01
96            	7.729450e-01	8.381840e-01
97            	7.693967e-01	8.402063e-01
98            	7.655091e-01	8.418932e-01
99            	7.613747e-01	8.420364e-01
100           	7.570731e-01	8.428231e-01
